Start time: 1684006294069
[2023-05-13 15:31:34.193080] PING 3.129.108.199 (3.129.108.199) 38(66) bytes of data.
[2023-05-13 15:31:34.193697] 46 bytes from 3.129.108.199: icmp_seq=1 ttl=50 time=86.6 ms
[2023-05-13 15:31:34.401318] 46 bytes from 3.129.108.199: icmp_seq=2 ttl=50 time=94.7 ms
[2023-05-13 15:31:34.605919] 46 bytes from 3.129.108.199: icmp_seq=3 ttl=50 time=99.1 ms
[2023-05-13 15:31:34.790530] 46 bytes from 3.129.108.199: icmp_seq=4 ttl=50 time=83.0 ms
[2023-05-13 15:31:34.989411] 46 bytes from 3.129.108.199: icmp_seq=5 ttl=50 time=81.2 ms
[2023-05-13 15:31:35.187331] 46 bytes from 3.129.108.199: icmp_seq=6 ttl=50 time=78.3 ms
[2023-05-13 15:31:35.392343] 46 bytes from 3.129.108.199: icmp_seq=7 ttl=50 time=82.3 ms
[2023-05-13 15:31:35.588264] 46 bytes from 3.129.108.199: icmp_seq=8 ttl=50 time=77.2 ms
[2023-05-13 15:31:35.788957] 46 bytes from 3.129.108.199: icmp_seq=9 ttl=50 time=77.1 ms
[2023-05-13 15:31:35.985990] 46 bytes from 3.129.108.199: icmp_seq=10 ttl=50 time=73.6 ms
[2023-05-13 15:31:36.187188] 46 bytes from 3.129.108.199: icmp_seq=11 ttl=50 time=73.7 ms
[2023-05-13 15:31:36.396471] 46 bytes from 3.129.108.199: icmp_seq=12 ttl=50 time=82.6 ms
[2023-05-13 15:31:36.587241] 46 bytes from 3.129.108.199: icmp_seq=13 ttl=50 time=73.1 ms
[2023-05-13 15:31:36.788602] 46 bytes from 3.129.108.199: icmp_seq=14 ttl=50 time=73.6 ms
[2023-05-13 15:31:36.987221] 46 bytes from 3.129.108.199: icmp_seq=15 ttl=50 time=72.1 ms
[2023-05-13 15:31:37.188114] 46 bytes from 3.129.108.199: icmp_seq=16 ttl=50 time=72.4 ms
[2023-05-13 15:31:37.386141] 46 bytes from 3.129.108.199: icmp_seq=17 ttl=50 time=69.4 ms
[2023-05-13 15:31:37.613212] 46 bytes from 3.129.108.199: icmp_seq=18 ttl=50 time=95.6 ms
[2023-05-13 15:31:37.786285] 46 bytes from 3.129.108.199: icmp_seq=19 ttl=50 time=67.6 ms
[2023-05-13 15:31:37.988041] 46 bytes from 3.129.108.199: icmp_seq=20 ttl=50 time=68.3 ms
[2023-05-13 15:31:38.209839] 46 bytes from 3.129.108.199: icmp_seq=21 ttl=50 time=88.7 ms
[2023-05-13 15:31:38.408843] 46 bytes from 3.129.108.199: icmp_seq=22 ttl=50 time=84.3 ms
[2023-05-13 15:31:38.607616] 46 bytes from 3.129.108.199: icmp_seq=23 ttl=50 time=84.9 ms
[2023-05-13 15:31:38.789644] 46 bytes from 3.129.108.199: icmp_seq=24 ttl=50 time=66.3 ms
[2023-05-13 15:31:39.008263] 46 bytes from 3.129.108.199: icmp_seq=25 ttl=50 time=83.9 ms
[2023-05-13 15:31:39.206906] 46 bytes from 3.129.108.199: icmp_seq=26 ttl=50 time=82.7 ms
[2023-05-13 15:31:39.406427] 46 bytes from 3.129.108.199: icmp_seq=27 ttl=50 time=81.8 ms
[2023-05-13 15:31:39.609541] 46 bytes from 3.129.108.199: icmp_seq=28 ttl=50 time=84.4 ms
[2023-05-13 15:31:39.807374] 46 bytes from 3.129.108.199: icmp_seq=29 ttl=50 time=81.4 ms
[2023-05-13 15:31:40.009807] 46 bytes from 3.129.108.199: icmp_seq=30 ttl=50 time=82.9 ms
[2023-05-13 15:31:40.206977] 46 bytes from 3.129.108.199: icmp_seq=31 ttl=50 time=79.9 ms
[2023-05-13 15:31:40.414249] 46 bytes from 3.129.108.199: icmp_seq=32 ttl=50 time=87.8 ms
[2023-05-13 15:31:40.607718] 46 bytes from 3.129.108.199: icmp_seq=33 ttl=50 time=80.7 ms
[2023-05-13 15:31:40.810054] 46 bytes from 3.129.108.199: icmp_seq=34 ttl=50 time=79.7 ms
[2023-05-13 15:31:41.007544] 46 bytes from 3.129.108.199: icmp_seq=35 ttl=50 time=74.7 ms
[2023-05-13 15:31:41.206777] 46 bytes from 3.129.108.199: icmp_seq=36 ttl=50 time=74.3 ms
[2023-05-13 15:31:41.417111] 46 bytes from 3.129.108.199: icmp_seq=37 ttl=50 time=84.8 ms
[2023-05-13 15:31:41.616461] 46 bytes from 3.129.108.199: icmp_seq=38 ttl=50 time=83.9 ms
[2023-05-13 15:31:41.813356] 46 bytes from 3.129.108.199: icmp_seq=39 ttl=50 time=79.9 ms
[2023-05-13 15:31:42.008463] 46 bytes from 3.129.108.199: icmp_seq=40 ttl=50 time=74.2 ms
[2023-05-13 15:31:42.209833] 46 bytes from 3.129.108.199: icmp_seq=41 ttl=50 time=75.9 ms
[2023-05-13 15:31:42.408179] 46 bytes from 3.129.108.199: icmp_seq=42 ttl=50 time=71.8 ms
[2023-05-13 15:31:42.607532] 46 bytes from 3.129.108.199: icmp_seq=43 ttl=50 time=72.6 ms
[2023-05-13 15:31:42.807434] 46 bytes from 3.129.108.199: icmp_seq=44 ttl=50 time=71.2 ms
[2023-05-13 15:31:43.010348] 46 bytes from 3.129.108.199: icmp_seq=45 ttl=50 time=74.3 ms
[2023-05-13 15:31:43.214507] 46 bytes from 3.129.108.199: icmp_seq=46 ttl=50 time=78.4 ms
[2023-05-13 15:31:43.413201] 46 bytes from 3.129.108.199: icmp_seq=47 ttl=50 time=76.2 ms
[2023-05-13 15:31:43.635007] 46 bytes from 3.129.108.199: icmp_seq=48 ttl=50 time=97.4 ms
[2023-05-13 15:31:43.813152] 46 bytes from 3.129.108.199: icmp_seq=49 ttl=50 time=74.6 ms
[2023-05-13 15:31:44.026744] 46 bytes from 3.129.108.199: icmp_seq=50 ttl=50 time=86.6 ms
[2023-05-13 15:31:44.235084] 46 bytes from 3.129.108.199: icmp_seq=51 ttl=50 time=95.9 ms
[2023-05-13 15:31:44.412240] 46 bytes from 3.129.108.199: icmp_seq=52 ttl=50 time=72.6 ms
[2023-05-13 15:31:44.627202] 46 bytes from 3.129.108.199: icmp_seq=53 ttl=50 time=87.1 ms
[2023-05-13 15:31:44.831548] 46 bytes from 3.129.108.199: icmp_seq=54 ttl=50 time=90.5 ms
[2023-05-13 15:31:45.008290] 46 bytes from 3.129.108.199: icmp_seq=55 ttl=50 time=67.0 ms
[2023-05-13 15:31:45.227474] 46 bytes from 3.129.108.199: icmp_seq=56 ttl=50 time=86.5 ms
[2023-05-13 15:31:45.428601] 46 bytes from 3.129.108.199: icmp_seq=57 ttl=50 time=86.1 ms
[2023-05-13 15:31:45.626101] 46 bytes from 3.129.108.199: icmp_seq=58 ttl=50 time=83.0 ms
[2023-05-13 15:31:45.826485] 46 bytes from 3.129.108.199: icmp_seq=59 ttl=50 time=82.6 ms
[2023-05-13 15:31:46.027004] 46 bytes from 3.129.108.199: icmp_seq=60 ttl=50 time=83.1 ms
[2023-05-13 15:31:46.228904] 46 bytes from 3.129.108.199: icmp_seq=61 ttl=50 time=83.6 ms
[2023-05-13 15:31:46.433411] 46 bytes from 3.129.108.199: icmp_seq=62 ttl=50 time=88.8 ms
[2023-05-13 15:31:46.628833] 46 bytes from 3.129.108.199: icmp_seq=63 ttl=50 time=83.6 ms
[2023-05-13 15:31:46.826618] 46 bytes from 3.129.108.199: icmp_seq=64 ttl=50 time=80.8 ms
[2023-05-13 15:31:47.029518] 46 bytes from 3.129.108.199: icmp_seq=65 ttl=50 time=83.4 ms
[2023-05-13 15:31:47.234180] 46 bytes from 3.129.108.199: icmp_seq=66 ttl=50 time=88.1 ms
[2023-05-13 15:31:47.427567] 46 bytes from 3.129.108.199: icmp_seq=67 ttl=50 time=80.7 ms
[2023-05-13 15:31:47.626414] 46 bytes from 3.129.108.199: icmp_seq=68 ttl=50 time=79.1 ms
[2023-05-13 15:31:47.830100] 46 bytes from 3.129.108.199: icmp_seq=69 ttl=50 time=82.2 ms
[2023-05-13 15:31:48.042925] 46 bytes from 3.129.108.199: icmp_seq=70 ttl=50 time=94.3 ms
[2023-05-13 15:31:48.228566] 46 bytes from 3.129.108.199: icmp_seq=71 ttl=50 time=79.9 ms
[2023-05-13 15:31:48.427239] 46 bytes from 3.129.108.199: icmp_seq=72 ttl=50 time=78.2 ms
[2023-05-13 15:31:48.627220] 46 bytes from 3.129.108.199: icmp_seq=73 ttl=50 time=77.4 ms
[2023-05-13 15:31:48.827823] 46 bytes from 3.129.108.199: icmp_seq=74 ttl=50 time=76.7 ms
[2023-05-13 15:31:49.026682] 46 bytes from 3.129.108.199: icmp_seq=75 ttl=50 time=75.3 ms
[2023-05-13 15:31:49.227735] 46 bytes from 3.129.108.199: icmp_seq=76 ttl=50 time=72.3 ms
[2023-05-13 15:31:49.426053] 46 bytes from 3.129.108.199: icmp_seq=77 ttl=50 time=73.9 ms
[2023-05-13 15:31:49.626797] 46 bytes from 3.129.108.199: icmp_seq=78 ttl=50 time=74.0 ms
[2023-05-13 15:31:49.827039] 46 bytes from 3.129.108.199: icmp_seq=79 ttl=50 time=73.7 ms
[2023-05-13 15:31:50.035866] 46 bytes from 3.129.108.199: icmp_seq=80 ttl=50 time=80.6 ms
[2023-05-13 15:31:50.237490] 46 bytes from 3.129.108.199: icmp_seq=81 ttl=50 time=83.8 ms
[2023-05-13 15:31:50.427554] 46 bytes from 3.129.108.199: icmp_seq=82 ttl=50 time=73.1 ms
[2023-05-13 15:31:50.626413] 46 bytes from 3.129.108.199: icmp_seq=83 ttl=50 time=71.2 ms
[2023-05-13 15:31:50.836248] 46 bytes from 3.129.108.199: icmp_seq=84 ttl=50 time=80.2 ms
[2023-05-13 15:31:51.047428] 46 bytes from 3.129.108.199: icmp_seq=85 ttl=50 time=90.4 ms
[2023-05-13 15:31:51.235167] 46 bytes from 3.129.108.199: icmp_seq=86 ttl=50 time=77.6 ms
[2023-05-13 15:31:51.434535] 46 bytes from 3.129.108.199: icmp_seq=87 ttl=50 time=76.6 ms
[2023-05-13 15:31:51.655567] 46 bytes from 3.129.108.199: icmp_seq=88 ttl=50 time=96.1 ms
[2023-05-13 15:31:51.827621] 46 bytes from 3.129.108.199: icmp_seq=89 ttl=50 time=68.2 ms
[2023-05-13 15:31:52.059979] 46 bytes from 3.129.108.199: icmp_seq=90 ttl=50 time=99.9 ms
[2023-05-13 15:31:52.226378] 46 bytes from 3.129.108.199: icmp_seq=91 ttl=50 time=66.7 ms
[2023-05-13 15:31:52.447177] 46 bytes from 3.129.108.199: icmp_seq=92 ttl=50 time=87.3 ms
[2023-05-13 15:31:52.653932] 46 bytes from 3.129.108.199: icmp_seq=93 ttl=50 time=93.0 ms
[2023-05-13 15:31:52.833382] 46 bytes from 3.129.108.199: icmp_seq=94 ttl=50 time=71.8 ms
[2023-05-13 15:31:53.026573] 46 bytes from 3.129.108.199: icmp_seq=95 ttl=50 time=64.6 ms
[2023-05-13 15:31:53.253092] 46 bytes from 3.129.108.199: icmp_seq=96 ttl=50 time=92.0 ms
[2023-05-13 15:31:53.434121] 46 bytes from 3.129.108.199: icmp_seq=97 ttl=50 time=72.6 ms
[2023-05-13 15:31:53.653053] 46 bytes from 3.129.108.199: icmp_seq=98 ttl=50 time=90.5 ms
[2023-05-13 15:31:53.857408] 46 bytes from 3.129.108.199: icmp_seq=99 ttl=50 time=93.8 ms
[2023-05-13 15:31:54.046434] 46 bytes from 3.129.108.199: icmp_seq=100 ttl=50 time=82.6 ms
[2023-05-13 15:31:54.250233] 46 bytes from 3.129.108.199: icmp_seq=101 ttl=50 time=84.5 ms
[2023-05-13 15:31:54.447190] 46 bytes from 3.129.108.199: icmp_seq=102 ttl=50 time=82.3 ms
[2023-05-13 15:31:54.650510] 46 bytes from 3.129.108.199: icmp_seq=103 ttl=50 time=82.9 ms
[2023-05-13 15:31:54.850695] 46 bytes from 3.129.108.199: icmp_seq=104 ttl=50 time=82.7 ms
[2023-05-13 15:31:55.047365] 46 bytes from 3.129.108.199: icmp_seq=105 ttl=50 time=80.1 ms
[2023-05-13 15:31:55.246555] 46 bytes from 3.129.108.199: icmp_seq=106 ttl=50 time=79.3 ms
[2023-05-13 15:31:55.448986] 46 bytes from 3.129.108.199: icmp_seq=107 ttl=50 time=82.0 ms
[2023-05-13 15:31:55.649144] 46 bytes from 3.129.108.199: icmp_seq=108 ttl=50 time=80.9 ms
[2023-05-13 15:31:55.865342] 46 bytes from 3.129.108.199: icmp_seq=109 ttl=50 time=94.2 ms
[2023-05-13 15:31:56.053461] 46 bytes from 3.129.108.199: icmp_seq=110 ttl=50 time=84.5 ms
[2023-05-13 15:31:56.250449] 46 bytes from 3.129.108.199: icmp_seq=111 ttl=50 time=80.5 ms
[2023-05-13 15:31:56.453327] 46 bytes from 3.129.108.199: icmp_seq=112 ttl=50 time=84.0 ms
[2023-05-13 15:31:56.646831] 46 bytes from 3.129.108.199: icmp_seq=113 ttl=50 time=76.6 ms
[2023-05-13 15:31:56.854272] 46 bytes from 3.129.108.199: icmp_seq=114 ttl=50 time=83.8 ms
[2023-05-13 15:31:57.050004] 46 bytes from 3.129.108.199: icmp_seq=115 ttl=50 time=78.3 ms
[2023-05-13 15:31:57.248138] 46 bytes from 3.129.108.199: icmp_seq=116 ttl=50 time=77.5 ms
[2023-05-13 15:31:57.450204] 46 bytes from 3.129.108.199: icmp_seq=117 ttl=50 time=78.6 ms
[2023-05-13 15:31:57.649081] 46 bytes from 3.129.108.199: icmp_seq=118 ttl=50 time=76.3 ms
[2023-05-13 15:31:57.849260] 46 bytes from 3.129.108.199: icmp_seq=119 ttl=50 time=73.5 ms
[2023-05-13 15:31:58.054328] 46 bytes from 3.129.108.199: icmp_seq=120 ttl=50 time=80.5 ms
[2023-05-13 15:31:58.247721] 46 bytes from 3.129.108.199: icmp_seq=121 ttl=50 time=73.3 ms
[2023-05-13 15:31:58.454089] 46 bytes from 3.129.108.199: icmp_seq=122 ttl=50 time=79.8 ms
[2023-05-13 15:31:58.647144] 46 bytes from 3.129.108.199: icmp_seq=123 ttl=50 time=72.3 ms
[2023-05-13 15:31:58.849335] 46 bytes from 3.129.108.199: icmp_seq=124 ttl=50 time=73.4 ms
[2023-05-13 15:31:59.048684] 46 bytes from 3.129.108.199: icmp_seq=125 ttl=50 time=71.8 ms
[2023-05-13 15:31:59.249088] 46 bytes from 3.129.108.199: icmp_seq=126 ttl=50 time=73.0 ms
[2023-05-13 15:31:59.449150] 46 bytes from 3.129.108.199: icmp_seq=127 ttl=50 time=72.4 ms
[2023-05-13 15:31:59.666016] 46 bytes from 3.129.108.199: icmp_seq=128 ttl=50 time=88.4 ms
[2023-05-13 15:31:59.873492] 46 bytes from 3.129.108.199: icmp_seq=129 ttl=50 time=94.7 ms
[2023-05-13 15:32:00.046391] 46 bytes from 3.129.108.199: icmp_seq=130 ttl=50 time=67.1 ms
[2023-05-13 15:32:00.267431] 46 bytes from 3.129.108.199: icmp_seq=131 ttl=50 time=88.2 ms
[2023-05-13 15:32:00.473963] 46 bytes from 3.129.108.199: icmp_seq=132 ttl=50 time=94.0 ms
[2023-05-13 15:32:00.654535] 46 bytes from 3.129.108.199: icmp_seq=133 ttl=50 time=73.9 ms
[2023-05-13 15:32:00.878555] 46 bytes from 3.129.108.199: icmp_seq=134 ttl=50 time=97.5 ms
[2023-05-13 15:32:01.068814] 46 bytes from 3.129.108.199: icmp_seq=135 ttl=50 time=84.1 ms
[2023-05-13 15:32:01.262978] 46 bytes from 3.129.108.199: icmp_seq=136 ttl=50 time=81.3 ms
[2023-05-13 15:32:01.466011] 46 bytes from 3.129.108.199: icmp_seq=137 ttl=50 time=84.6 ms
[2023-05-13 15:32:01.669442] 46 bytes from 3.129.108.199: icmp_seq=138 ttl=50 time=86.9 ms
[2023-05-13 15:32:01.862965] 46 bytes from 3.129.108.199: icmp_seq=139 ttl=50 time=79.6 ms
[2023-05-13 15:32:02.066284] 46 bytes from 3.129.108.199: icmp_seq=140 ttl=50 time=82.7 ms
[2023-05-13 15:32:02.269347] 46 bytes from 3.129.108.199: icmp_seq=141 ttl=50 time=86.4 ms
[2023-05-13 15:32:02.474207] 46 bytes from 3.129.108.199: icmp_seq=142 ttl=50 time=90.3 ms
[2023-05-13 15:32:02.673317] 46 bytes from 3.129.108.199: icmp_seq=143 ttl=50 time=88.5 ms
[2023-05-13 15:32:02.874464] 46 bytes from 3.129.108.199: icmp_seq=144 ttl=50 time=88.9 ms
[2023-05-13 15:32:03.066484] 46 bytes from 3.129.108.199: icmp_seq=145 ttl=50 time=80.5 ms
[2023-05-13 15:32:03.265958] 46 bytes from 3.129.108.199: icmp_seq=146 ttl=50 time=80.0 ms
