Start time: 1683999605797
[2023-05-13 13:40:05.894831] PING 3.129.108.199 (3.129.108.199) 38(66) bytes of data.
[2023-05-13 13:40:05.895214] 46 bytes from 3.129.108.199: icmp_seq=1 ttl=50 time=57.2 ms
[2023-05-13 13:40:06.093047] 46 bytes from 3.129.108.199: icmp_seq=2 ttl=50 time=54.4 ms
[2023-05-13 13:40:06.294204] 46 bytes from 3.129.108.199: icmp_seq=3 ttl=50 time=54.6 ms
[2023-05-13 13:40:06.494199] 46 bytes from 3.129.108.199: icmp_seq=4 ttl=50 time=53.3 ms
[2023-05-13 13:40:06.700110] 46 bytes from 3.129.108.199: icmp_seq=5 ttl=50 time=58.0 ms
[2023-05-13 13:40:06.899018] 46 bytes from 3.129.108.199: icmp_seq=6 ttl=50 time=56.2 ms
[2023-05-13 13:40:07.093939] 46 bytes from 3.129.108.199: icmp_seq=7 ttl=50 time=50.3 ms
[2023-05-13 13:40:07.293855] 46 bytes from 3.129.108.199: icmp_seq=8 ttl=50 time=49.2 ms
[2023-05-13 13:40:07.494301] 46 bytes from 3.129.108.199: icmp_seq=9 ttl=50 time=49.0 ms
[2023-05-13 13:40:07.693789] 46 bytes from 3.129.108.199: icmp_seq=10 ttl=50 time=47.6 ms
[2023-05-13 13:40:08.051675] 46 bytes from 3.129.108.199: icmp_seq=11 ttl=50 time=205 ms
[2023-05-13 13:40:08.113908] 46 bytes from 3.129.108.199: icmp_seq=12 ttl=50 time=67.4 ms
[2023-05-13 13:40:08.294293] 46 bytes from 3.129.108.199: icmp_seq=13 ttl=50 time=46.7 ms
[2023-05-13 13:40:08.493742] 46 bytes from 3.129.108.199: icmp_seq=14 ttl=50 time=45.7 ms
[2023-05-13 13:40:08.693789] 46 bytes from 3.129.108.199: icmp_seq=15 ttl=50 time=45.2 ms
[2023-05-13 13:40:08.893759] 46 bytes from 3.129.108.199: icmp_seq=16 ttl=50 time=44.3 ms
[2023-05-13 13:40:09.118762] 46 bytes from 3.129.108.199: icmp_seq=17 ttl=50 time=68.3 ms
[2023-05-13 13:40:09.314234] 46 bytes from 3.129.108.199: icmp_seq=18 ttl=50 time=62.9 ms
[2023-05-13 13:40:09.494022] 46 bytes from 3.129.108.199: icmp_seq=19 ttl=50 time=42.1 ms
[2023-05-13 13:40:09.711668] 46 bytes from 3.129.108.199: icmp_seq=20 ttl=50 time=59.1 ms
[2023-05-13 13:40:09.913462] 46 bytes from 3.129.108.199: icmp_seq=21 ttl=50 time=59.9 ms
[2023-05-13 13:40:10.109071] 46 bytes from 3.129.108.199: icmp_seq=22 ttl=50 time=54.9 ms
[2023-05-13 13:40:10.308960] 46 bytes from 3.129.108.199: icmp_seq=23 ttl=50 time=54.2 ms
[2023-05-13 13:40:10.508700] 46 bytes from 3.129.108.199: icmp_seq=24 ttl=50 time=53.1 ms
[2023-05-13 13:40:10.712532] 46 bytes from 3.129.108.199: icmp_seq=25 ttl=50 time=55.9 ms
[2023-05-13 13:40:10.909194] 46 bytes from 3.129.108.199: icmp_seq=26 ttl=50 time=52.0 ms
[2023-05-13 13:40:11.108710] 46 bytes from 3.129.108.199: icmp_seq=27 ttl=50 time=50.8 ms
[2023-05-13 13:40:11.308198] 46 bytes from 3.129.108.199: icmp_seq=28 ttl=50 time=49.9 ms
[2023-05-13 13:40:11.508821] 46 bytes from 3.129.108.199: icmp_seq=29 ttl=50 time=49.8 ms
[2023-05-13 13:40:11.708791] 46 bytes from 3.129.108.199: icmp_seq=30 ttl=50 time=49.2 ms
[2023-05-13 13:40:11.908888] 46 bytes from 3.129.108.199: icmp_seq=31 ttl=50 time=48.3 ms
[2023-05-13 13:40:12.108700] 46 bytes from 3.129.108.199: icmp_seq=32 ttl=50 time=47.1 ms
[2023-05-13 13:40:12.308825] 46 bytes from 3.129.108.199: icmp_seq=33 ttl=50 time=46.4 ms
[2023-05-13 13:40:12.509404] 46 bytes from 3.129.108.199: icmp_seq=34 ttl=50 time=45.9 ms
[2023-05-13 13:40:12.713590] 46 bytes from 3.129.108.199: icmp_seq=35 ttl=50 time=49.2 ms
[2023-05-13 13:40:12.928362] 46 bytes from 3.129.108.199: icmp_seq=36 ttl=50 time=63.1 ms
[2023-05-13 13:40:13.128561] 46 bytes from 3.129.108.199: icmp_seq=37 ttl=50 time=62.5 ms
[2023-05-13 13:40:13.328808] 46 bytes from 3.129.108.199: icmp_seq=38 ttl=50 time=62.7 ms
[2023-05-13 13:40:13.533310] 46 bytes from 3.129.108.199: icmp_seq=39 ttl=50 time=66.9 ms
[2023-05-13 13:40:13.732357] 46 bytes from 3.129.108.199: icmp_seq=40 ttl=50 time=65.2 ms
[2023-05-13 13:40:13.941912] 46 bytes from 3.129.108.199: icmp_seq=41 ttl=50 time=73.9 ms
[2023-05-13 13:40:14.134746] 46 bytes from 3.129.108.199: icmp_seq=42 ttl=50 time=66.1 ms
[2023-05-13 13:40:14.328819] 46 bytes from 3.129.108.199: icmp_seq=43 ttl=50 time=59.4 ms
[2023-05-13 13:40:14.528835] 46 bytes from 3.129.108.199: icmp_seq=44 ttl=50 time=58.3 ms
[2023-05-13 13:40:14.728730] 46 bytes from 3.129.108.199: icmp_seq=45 ttl=50 time=57.2 ms
[2023-05-13 13:40:14.929306] 46 bytes from 3.129.108.199: icmp_seq=46 ttl=50 time=56.9 ms
[2023-05-13 13:40:15.132052] 46 bytes from 3.129.108.199: icmp_seq=47 ttl=50 time=59.1 ms
[2023-05-13 13:40:15.328764] 46 bytes from 3.129.108.199: icmp_seq=48 ttl=50 time=55.2 ms
[2023-05-13 13:40:15.528756] 46 bytes from 3.129.108.199: icmp_seq=49 ttl=50 time=54.4 ms
[2023-05-13 13:40:15.728558] 46 bytes from 3.129.108.199: icmp_seq=50 ttl=50 time=53.0 ms
[2023-05-13 13:40:15.928818] 46 bytes from 3.129.108.199: icmp_seq=51 ttl=50 time=52.6 ms
[2023-05-13 13:40:16.129696] 46 bytes from 3.129.108.199: icmp_seq=52 ttl=50 time=53.3 ms
[2023-05-13 13:40:16.328783] 46 bytes from 3.129.108.199: icmp_seq=53 ttl=50 time=51.5 ms
[2023-05-13 13:40:16.529816] 46 bytes from 3.129.108.199: icmp_seq=54 ttl=50 time=50.9 ms
[2023-05-13 13:40:16.729212] 46 bytes from 3.129.108.199: icmp_seq=55 ttl=50 time=50.2 ms
[2023-05-13 13:40:16.929301] 46 bytes from 3.129.108.199: icmp_seq=56 ttl=50 time=49.4 ms
[2023-05-13 13:40:17.129374] 46 bytes from 3.129.108.199: icmp_seq=57 ttl=50 time=48.3 ms
[2023-05-13 13:40:17.328267] 46 bytes from 3.129.108.199: icmp_seq=58 ttl=50 time=46.3 ms
[2023-05-13 13:40:17.528931] 46 bytes from 3.129.108.199: icmp_seq=59 ttl=50 time=45.9 ms
[2023-05-13 13:40:17.737878] 46 bytes from 3.129.108.199: icmp_seq=60 ttl=50 time=54.1 ms
[2023-05-13 13:40:17.929350] 46 bytes from 3.129.108.199: icmp_seq=61 ttl=50 time=44.8 ms
[2023-05-13 13:40:18.134010] 46 bytes from 3.129.108.199: icmp_seq=62 ttl=50 time=48.9 ms
