Start time: 1684098145474
[2023-05-14 17:02:25.572755] PING 3.129.108.199 (3.129.108.199) 38(66) bytes of data.
[2023-05-14 17:02:25.573270] 46 bytes from 3.129.108.199: icmp_seq=1 ttl=43 time=61.6 ms
[2023-05-14 17:02:25.782520] 46 bytes from 3.129.108.199: icmp_seq=2 ttl=43 time=71.2 ms
[2023-05-14 17:02:25.978906] 46 bytes from 3.129.108.199: icmp_seq=3 ttl=43 time=66.6 ms
[2023-05-14 17:02:26.185674] 46 bytes from 3.129.108.199: icmp_seq=4 ttl=43 time=73.1 ms
[2023-05-14 17:02:26.382293] 46 bytes from 3.129.108.199: icmp_seq=5 ttl=43 time=69.1 ms
[2023-05-14 17:02:26.587893] 46 bytes from 3.129.108.199: icmp_seq=6 ttl=43 time=73.9 ms
[2023-05-14 17:02:26.773648] 46 bytes from 3.129.108.199: icmp_seq=7 ttl=43 time=59.3 ms
[2023-05-14 17:02:26.978774] 46 bytes from 3.129.108.199: icmp_seq=8 ttl=43 time=63.6 ms
[2023-05-14 17:02:27.183534] 46 bytes from 3.129.108.199: icmp_seq=9 ttl=43 time=67.1 ms
[2023-05-14 17:02:27.370650] 46 bytes from 3.129.108.199: icmp_seq=10 ttl=43 time=53.7 ms
[2023-05-14 17:02:27.591025] 46 bytes from 3.129.108.199: icmp_seq=11 ttl=43 time=72.6 ms
[2023-05-14 17:02:27.798018] 46 bytes from 3.129.108.199: icmp_seq=12 ttl=43 time=79.5 ms
[2023-05-14 17:02:27.993837] 46 bytes from 3.129.108.199: icmp_seq=13 ttl=43 time=74.1 ms
[2023-05-14 17:02:28.190947] 46 bytes from 3.129.108.199: icmp_seq=14 ttl=43 time=70.4 ms
[2023-05-14 17:02:28.386681] 46 bytes from 3.129.108.199: icmp_seq=15 ttl=43 time=65.2 ms
[2023-05-14 17:02:28.579706] 46 bytes from 3.129.108.199: icmp_seq=16 ttl=43 time=57.5 ms
[2023-05-14 17:02:28.790578] 46 bytes from 3.129.108.199: icmp_seq=17 ttl=43 time=67.3 ms
[2023-05-14 17:02:28.988400] 46 bytes from 3.129.108.199: icmp_seq=18 ttl=43 time=64.3 ms
[2023-05-14 17:02:29.191727] 46 bytes from 3.129.108.199: icmp_seq=19 ttl=43 time=66.7 ms
[2023-05-14 17:02:29.390682] 46 bytes from 3.129.108.199: icmp_seq=20 ttl=43 time=65.5 ms
[2023-05-14 17:02:29.588616] 46 bytes from 3.129.108.199: icmp_seq=21 ttl=43 time=62.1 ms
[2023-05-14 17:02:29.792056] 46 bytes from 3.129.108.199: icmp_seq=22 ttl=43 time=64.9 ms
[2023-05-14 17:02:29.986994] 46 bytes from 3.129.108.199: icmp_seq=23 ttl=43 time=59.2 ms
[2023-05-14 17:02:30.193649] 46 bytes from 3.129.108.199: icmp_seq=24 ttl=43 time=65.2 ms
[2023-05-14 17:02:30.407600] 46 bytes from 3.129.108.199: icmp_seq=25 ttl=43 time=78.4 ms
[2023-05-14 17:02:30.594675] 46 bytes from 3.129.108.199: icmp_seq=26 ttl=43 time=64.6 ms
[2023-05-14 17:02:30.800634] 46 bytes from 3.129.108.199: icmp_seq=27 ttl=43 time=69.5 ms
[2023-05-14 17:02:31.005717] 46 bytes from 3.129.108.199: icmp_seq=28 ttl=43 time=73.5 ms
[2023-05-14 17:02:31.199780] 46 bytes from 3.129.108.199: icmp_seq=29 ttl=43 time=67.5 ms
[2023-05-14 17:02:31.404759] 46 bytes from 3.129.108.199: icmp_seq=30 ttl=43 time=71.5 ms
[2023-05-14 17:02:31.607827] 46 bytes from 3.129.108.199: icmp_seq=31 ttl=43 time=73.4 ms
[2023-05-14 17:02:31.808706] 46 bytes from 3.129.108.199: icmp_seq=32 ttl=43 time=73.4 ms
[2023-05-14 17:02:32.007643] 46 bytes from 3.129.108.199: icmp_seq=33 ttl=43 time=71.5 ms
[2023-05-14 17:02:32.206293] 46 bytes from 3.129.108.199: icmp_seq=34 ttl=43 time=69.8 ms
[2023-05-14 17:02:32.396581] 46 bytes from 3.129.108.199: icmp_seq=35 ttl=43 time=60.0 ms
[2023-05-14 17:02:32.616677] 46 bytes from 3.129.108.199: icmp_seq=36 ttl=43 time=79.0 ms
[2023-05-14 17:02:32.816682] 46 bytes from 3.129.108.199: icmp_seq=37 ttl=43 time=78.5 ms
[2023-05-14 17:02:33.008019] 46 bytes from 3.129.108.199: icmp_seq=38 ttl=43 time=68.8 ms
[2023-05-14 17:02:33.206312] 46 bytes from 3.129.108.199: icmp_seq=39 ttl=43 time=67.5 ms
[2023-05-14 17:02:33.407754] 46 bytes from 3.129.108.199: icmp_seq=40 ttl=43 time=68.9 ms
[2023-05-14 17:02:33.606802] 46 bytes from 3.129.108.199: icmp_seq=41 ttl=43 time=67.5 ms
[2023-05-14 17:02:33.825699] 46 bytes from 3.129.108.199: icmp_seq=42 ttl=43 time=85.4 ms
[2023-05-14 17:02:34.003768] 46 bytes from 3.129.108.199: icmp_seq=43 ttl=43 time=62.4 ms
[2023-05-14 17:02:34.202715] 46 bytes from 3.129.108.199: icmp_seq=44 ttl=43 time=61.4 ms
[2023-05-14 17:02:34.408689] 46 bytes from 3.129.108.199: icmp_seq=45 ttl=43 time=66.4 ms
[2023-05-14 17:02:34.606386] 46 bytes from 3.129.108.199: icmp_seq=46 ttl=43 time=62.8 ms
[2023-05-14 17:02:34.824619] 46 bytes from 3.129.108.199: icmp_seq=47 ttl=43 time=80.8 ms
[2023-05-14 17:02:35.023697] 46 bytes from 3.129.108.199: icmp_seq=48 ttl=43 time=79.5 ms
[2023-05-14 17:02:35.204853] 46 bytes from 3.129.108.199: icmp_seq=49 ttl=43 time=60.7 ms
[2023-05-14 17:02:35.405613] 46 bytes from 3.129.108.199: icmp_seq=50 ttl=43 time=60.3 ms
[2023-05-14 17:02:35.616671] 46 bytes from 3.129.108.199: icmp_seq=51 ttl=43 time=70.5 ms
[2023-05-14 17:02:35.816640] 46 bytes from 3.129.108.199: icmp_seq=52 ttl=43 time=69.5 ms
[2023-05-14 17:02:36.020206] 46 bytes from 3.129.108.199: icmp_seq=53 ttl=43 time=71.5 ms
[2023-05-14 17:02:36.209698] 46 bytes from 3.129.108.199: icmp_seq=54 ttl=43 time=62.0 ms
[2023-05-14 17:02:36.403252] 46 bytes from 3.129.108.199: icmp_seq=55 ttl=43 time=53.9 ms
[2023-05-14 17:02:36.622996] 46 bytes from 3.129.108.199: icmp_seq=56 ttl=43 time=74.1 ms
[2023-05-14 17:02:36.818746] 46 bytes from 3.129.108.199: icmp_seq=57 ttl=43 time=69.2 ms
[2023-05-14 17:02:37.037585] 46 bytes from 3.129.108.199: icmp_seq=58 ttl=43 time=87.3 ms
[2023-05-14 17:02:37.227569] 46 bytes from 3.129.108.199: icmp_seq=59 ttl=43 time=77.6 ms
[2023-05-14 17:02:37.421639] 46 bytes from 3.129.108.199: icmp_seq=60 ttl=43 time=70.6 ms
[2023-05-14 17:02:37.610601] 46 bytes from 3.129.108.199: icmp_seq=61 ttl=43 time=58.5 ms
[2023-05-14 17:02:37.811628] 46 bytes from 3.129.108.199: icmp_seq=62 ttl=43 time=58.5 ms
[2023-05-14 17:02:38.012692] 46 bytes from 3.129.108.199: icmp_seq=63 ttl=43 time=58.5 ms
[2023-05-14 17:02:38.221775] 46 bytes from 3.129.108.199: icmp_seq=64 ttl=43 time=67.5 ms
[2023-05-14 17:02:38.420699] 46 bytes from 3.129.108.199: icmp_seq=65 ttl=43 time=65.4 ms
[2023-05-14 17:02:38.620036] 46 bytes from 3.129.108.199: icmp_seq=66 ttl=43 time=63.6 ms
[2023-05-14 17:02:38.820577] 46 bytes from 3.129.108.199: icmp_seq=67 ttl=43 time=64.1 ms
[2023-05-14 17:02:39.013761] 46 bytes from 3.129.108.199: icmp_seq=68 ttl=43 time=56.7 ms
[2023-05-14 17:02:39.214765] 46 bytes from 3.129.108.199: icmp_seq=69 ttl=43 time=57.5 ms
[2023-05-14 17:02:39.423599] 46 bytes from 3.129.108.199: icmp_seq=70 ttl=43 time=65.3 ms
[2023-05-14 17:02:39.646896] 46 bytes from 3.129.108.199: icmp_seq=71 ttl=43 time=87.6 ms
[2023-05-14 17:02:39.829957] 46 bytes from 3.129.108.199: icmp_seq=72 ttl=43 time=70.4 ms
[2023-05-14 17:02:40.032496] 46 bytes from 3.129.108.199: icmp_seq=73 ttl=43 time=71.0 ms
[2023-05-14 17:02:40.240806] 46 bytes from 3.129.108.199: icmp_seq=74 ttl=43 time=79.9 ms
[2023-05-14 17:02:40.429044] 46 bytes from 3.129.108.199: icmp_seq=75 ttl=43 time=67.7 ms
[2023-05-14 17:02:40.635619] 46 bytes from 3.129.108.199: icmp_seq=76 ttl=43 time=74.1 ms
[2023-05-14 17:02:40.846122] 46 bytes from 3.129.108.199: icmp_seq=77 ttl=43 time=84.0 ms
[2023-05-14 17:02:41.026799] 46 bytes from 3.129.108.199: icmp_seq=78 ttl=43 time=64.0 ms
[2023-05-14 17:02:41.228672] 46 bytes from 3.129.108.199: icmp_seq=79 ttl=43 time=65.9 ms
[2023-05-14 17:02:41.440986] 46 bytes from 3.129.108.199: icmp_seq=80 ttl=43 time=77.5 ms
[2023-05-14 17:02:41.622482] 46 bytes from 3.129.108.199: icmp_seq=81 ttl=43 time=59.1 ms
[2023-05-14 17:02:41.830186] 46 bytes from 3.129.108.199: icmp_seq=82 ttl=43 time=66.2 ms
[2023-05-14 17:02:42.025983] 46 bytes from 3.129.108.199: icmp_seq=83 ttl=43 time=60.9 ms
[2023-05-14 17:02:42.219478] 46 bytes from 3.129.108.199: icmp_seq=84 ttl=43 time=54.2 ms
[2023-05-14 17:02:42.436611] 46 bytes from 3.129.108.199: icmp_seq=85 ttl=43 time=70.6 ms
[2023-05-14 17:02:42.621553] 46 bytes from 3.129.108.199: icmp_seq=86 ttl=43 time=54.5 ms
[2023-05-14 17:02:42.828664] 46 bytes from 3.129.108.199: icmp_seq=87 ttl=43 time=60.6 ms
[2023-05-14 17:02:43.046764] 46 bytes from 3.129.108.199: icmp_seq=88 ttl=43 time=77.4 ms
[2023-05-14 17:02:43.233041] 46 bytes from 3.129.108.199: icmp_seq=89 ttl=43 time=63.3 ms
[2023-05-14 17:02:43.459004] 46 bytes from 3.129.108.199: icmp_seq=90 ttl=43 time=88.4 ms
[2023-05-14 17:02:43.653772] 46 bytes from 3.129.108.199: icmp_seq=91 ttl=43 time=82.2 ms
[2023-05-14 17:02:43.835828] 46 bytes from 3.129.108.199: icmp_seq=92 ttl=43 time=61.3 ms
[2023-05-14 17:02:44.040591] 46 bytes from 3.129.108.199: icmp_seq=93 ttl=43 time=65.3 ms
[2023-05-14 17:02:44.245910] 46 bytes from 3.129.108.199: icmp_seq=94 ttl=43 time=70.8 ms
[2023-05-14 17:02:44.437820] 46 bytes from 3.129.108.199: icmp_seq=95 ttl=43 time=62.4 ms
[2023-05-14 17:02:44.644672] 46 bytes from 3.129.108.199: icmp_seq=96 ttl=43 time=68.2 ms
[2023-05-14 17:02:44.833485] 46 bytes from 3.129.108.199: icmp_seq=97 ttl=43 time=55.3 ms
[2023-05-14 17:02:45.061258] 46 bytes from 3.129.108.199: icmp_seq=98 ttl=43 time=81.9 ms
[2023-05-14 17:02:45.249312] 46 bytes from 3.129.108.199: icmp_seq=99 ttl=43 time=70.3 ms
[2023-05-14 17:02:45.446228] 46 bytes from 3.129.108.199: icmp_seq=100 ttl=43 time=66.3 ms
[2023-05-14 17:02:45.642812] 46 bytes from 3.129.108.199: icmp_seq=101 ttl=43 time=62.1 ms
