Start time: 1684252508989
[2023-05-16 11:55:09.094710] PING 3.129.108.199 (3.129.108.199) 38(66) bytes of data.
[2023-05-16 11:55:09.095131] 46 bytes from 3.129.108.199: icmp_seq=1 ttl=45 time=51.9 ms
[2023-05-16 11:55:09.304749] 46 bytes from 3.129.108.199: icmp_seq=2 ttl=45 time=61.3 ms
[2023-05-16 11:55:09.514740] 46 bytes from 3.129.108.199: icmp_seq=3 ttl=45 time=70.3 ms
[2023-05-16 11:55:09.699821] 46 bytes from 3.129.108.199: icmp_seq=4 ttl=45 time=54.3 ms
[2023-05-16 11:55:09.899629] 46 bytes from 3.129.108.199: icmp_seq=5 ttl=45 time=53.3 ms
[2023-05-16 11:55:10.100840] 46 bytes from 3.129.108.199: icmp_seq=6 ttl=45 time=53.6 ms
[2023-05-16 11:55:10.294759] 46 bytes from 3.129.108.199: icmp_seq=7 ttl=45 time=47.2 ms
[2023-05-16 11:55:10.514752] 46 bytes from 3.129.108.199: icmp_seq=8 ttl=45 time=66.4 ms
[2023-05-16 11:55:10.704737] 46 bytes from 3.129.108.199: icmp_seq=9 ttl=45 time=55.3 ms
[2023-05-16 11:55:10.906288] 46 bytes from 3.129.108.199: icmp_seq=10 ttl=45 time=55.9 ms
[2023-05-16 11:55:11.105430] 46 bytes from 3.129.108.199: icmp_seq=11 ttl=45 time=54.4 ms
[2023-05-16 11:55:11.301191] 46 bytes from 3.129.108.199: icmp_seq=12 ttl=45 time=49.2 ms
[2023-05-16 11:55:11.499739] 46 bytes from 3.129.108.199: icmp_seq=13 ttl=45 time=47.0 ms
[2023-05-16 11:55:11.705740] 46 bytes from 3.129.108.199: icmp_seq=14 ttl=45 time=52.4 ms
[2023-05-16 11:55:11.914861] 46 bytes from 3.129.108.199: icmp_seq=15 ttl=45 time=60.4 ms
[2023-05-16 11:55:12.111485] 46 bytes from 3.129.108.199: icmp_seq=16 ttl=45 time=56.1 ms
[2023-05-16 11:55:12.305677] 46 bytes from 3.129.108.199: icmp_seq=17 ttl=45 time=49.4 ms
[2023-05-16 11:55:12.504897] 46 bytes from 3.129.108.199: icmp_seq=18 ttl=45 time=47.4 ms
[2023-05-16 11:55:12.711820] 46 bytes from 3.129.108.199: icmp_seq=19 ttl=45 time=53.3 ms
[2023-05-16 11:55:12.917897] 46 bytes from 3.129.108.199: icmp_seq=20 ttl=45 time=58.2 ms
[2023-05-16 11:55:13.112423] 46 bytes from 3.129.108.199: icmp_seq=21 ttl=45 time=51.7 ms
[2023-05-16 11:55:13.309996] 46 bytes from 3.129.108.199: icmp_seq=22 ttl=45 time=48.9 ms
[2023-05-16 11:55:13.509666] 46 bytes from 3.129.108.199: icmp_seq=23 ttl=45 time=48.0 ms
[2023-05-16 11:55:13.709628] 46 bytes from 3.129.108.199: icmp_seq=24 ttl=45 time=47.4 ms
[2023-05-16 11:55:13.919617] 46 bytes from 3.129.108.199: icmp_seq=25 ttl=45 time=56.3 ms
[2023-05-16 11:55:14.124640] 46 bytes from 3.129.108.199: icmp_seq=26 ttl=45 time=60.3 ms
[2023-05-16 11:55:14.317499] 46 bytes from 3.129.108.199: icmp_seq=27 ttl=45 time=52.0 ms
[2023-05-16 11:55:14.514889] 46 bytes from 3.129.108.199: icmp_seq=28 ttl=45 time=48.7 ms
[2023-05-16 11:55:14.714649] 46 bytes from 3.129.108.199: icmp_seq=29 ttl=45 time=48.2 ms
[2023-05-16 11:55:14.914605] 46 bytes from 3.129.108.199: icmp_seq=30 ttl=45 time=47.3 ms
[2023-05-16 11:55:15.126296] 46 bytes from 3.129.108.199: icmp_seq=31 ttl=45 time=57.6 ms
[2023-05-16 11:55:15.324604] 46 bytes from 3.129.108.199: icmp_seq=32 ttl=45 time=55.8 ms
[2023-05-16 11:55:15.524630] 46 bytes from 3.129.108.199: icmp_seq=33 ttl=45 time=55.4 ms
