Start time: 1684257464329
[2023-05-16 12:17:44.471395] PING 3.129.108.199 (3.129.108.199) 38(66) bytes of data.
[2023-05-16 12:17:44.471884] 46 bytes from 3.129.108.199: icmp_seq=1 ttl=52 time=74.6 ms
[2023-05-16 12:17:44.740915] 46 bytes from 3.129.108.199: icmp_seq=2 ttl=52 time=143 ms
[2023-05-16 12:17:44.864893] 46 bytes from 3.129.108.199: icmp_seq=3 ttl=52 time=67.6 ms
[2023-05-16 12:17:45.402732] 46 bytes from 3.129.108.199: icmp_seq=4 ttl=52 time=404 ms
[2023-05-16 12:17:45.407763] 46 bytes from 3.129.108.199: icmp_seq=5 ttl=52 time=209 ms
[2023-05-16 12:17:45.443087] 46 bytes from 3.129.108.199: icmp_seq=6 ttl=52 time=45.1 ms
[2023-05-16 12:17:45.667093] 46 bytes from 3.129.108.199: icmp_seq=7 ttl=52 time=68.5 ms
[2023-05-16 12:17:46.052431] 46 bytes from 3.129.108.199: icmp_seq=8 ttl=52 time=252 ms
[2023-05-16 12:17:46.078707] 46 bytes from 3.129.108.199: icmp_seq=9 ttl=52 time=70.7 ms
[2023-05-16 12:17:46.372347] 46 bytes from 3.129.108.199: icmp_seq=10 ttl=52 time=162 ms
[2023-05-16 12:17:46.467628] 46 bytes from 3.129.108.199: icmp_seq=11 ttl=52 time=58.0 ms
[2023-05-16 12:17:46.685696] 46 bytes from 3.129.108.199: icmp_seq=12 ttl=52 time=75.6 ms
[2023-05-16 12:17:46.892176] 46 bytes from 3.129.108.199: icmp_seq=13 ttl=52 time=81.0 ms
[2023-05-16 12:17:47.245827] 46 bytes from 3.129.108.199: icmp_seq=14 ttl=52 time=234 ms
[2023-05-16 12:17:47.524159] 46 bytes from 3.129.108.199: icmp_seq=15 ttl=52 time=304 ms
[2023-05-16 12:17:47.524359] 46 bytes from 3.129.108.199: icmp_seq=16 ttl=52 time=102 ms
[2023-05-16 12:17:47.688820] 46 bytes from 3.129.108.199: icmp_seq=17 ttl=52 time=67.3 ms
[2023-05-16 12:17:48.484082] 46 bytes from 3.129.108.199: icmp_seq=18 ttl=52 time=661 ms
[2023-05-16 12:17:48.484360] 46 bytes from 3.129.108.199: icmp_seq=19 ttl=52 time=461 ms
[2023-05-16 12:17:48.484472] 46 bytes from 3.129.108.199: icmp_seq=20 ttl=52 time=261 ms
[2023-05-16 12:17:48.557772] 46 bytes from 3.129.108.199: icmp_seq=21 ttl=52 time=125 ms
[2023-05-16 12:17:48.686764] 46 bytes from 3.129.108.199: icmp_seq=22 ttl=52 time=53.5 ms
