Start time: 1684265239035
[2023-05-16 14:27:19.127679] PING 155.146.178.233 (155.146.178.233) 38(66) bytes of data.
[2023-05-16 14:27:19.128247] 46 bytes from 155.146.178.233: icmp_seq=1 ttl=53 time=37.9 ms
[2023-05-16 14:27:19.305603] 46 bytes from 155.146.178.233: icmp_seq=2 ttl=53 time=38.2 ms
[2023-05-16 14:27:19.496510] 46 bytes from 155.146.178.233: icmp_seq=3 ttl=53 time=28.2 ms
[2023-05-16 14:27:19.707877] 46 bytes from 155.146.178.233: icmp_seq=4 ttl=53 time=38.6 ms
[2023-05-16 14:27:19.907811] 46 bytes from 155.146.178.233: icmp_seq=5 ttl=53 time=38.2 ms
[2023-05-16 14:27:20.114614] 46 bytes from 155.146.178.233: icmp_seq=6 ttl=53 time=44.2 ms
[2023-05-16 14:27:20.306596] 46 bytes from 155.146.178.233: icmp_seq=7 ttl=53 time=35.4 ms
[2023-05-16 14:27:20.514671] 46 bytes from 155.146.178.233: icmp_seq=8 ttl=53 time=42.4 ms
[2023-05-16 14:27:20.706688] 46 bytes from 155.146.178.233: icmp_seq=9 ttl=53 time=33.2 ms
[2023-05-16 14:27:20.914731] 46 bytes from 155.146.178.233: icmp_seq=10 ttl=53 time=40.2 ms
[2023-05-16 14:27:21.114966] 46 bytes from 155.146.178.233: icmp_seq=11 ttl=53 time=39.5 ms
[2023-05-16 14:27:21.315724] 46 bytes from 155.146.178.233: icmp_seq=12 ttl=53 time=39.0 ms
[2023-05-16 14:27:21.515722] 46 bytes from 155.146.178.233: icmp_seq=13 ttl=53 time=38.3 ms
[2023-05-16 14:27:21.707607] 46 bytes from 155.146.178.233: icmp_seq=14 ttl=53 time=29.2 ms
[2023-05-16 14:27:21.924892] 46 bytes from 155.146.178.233: icmp_seq=15 ttl=53 time=45.6 ms
[2023-05-16 14:27:22.124676] 46 bytes from 155.146.178.233: icmp_seq=16 ttl=53 time=45.2 ms
[2023-05-16 14:27:22.316679] 46 bytes from 155.146.178.233: icmp_seq=17 ttl=53 time=36.4 ms
[2023-05-16 14:27:22.516656] 46 bytes from 155.146.178.233: icmp_seq=18 ttl=53 time=35.4 ms
[2023-05-16 14:27:22.717946] 46 bytes from 155.146.178.233: icmp_seq=19 ttl=53 time=35.6 ms
[2023-05-16 14:27:22.917531] 46 bytes from 155.146.178.233: icmp_seq=20 ttl=53 time=34.0 ms
[2023-05-16 14:27:23.115654] 46 bytes from 155.146.178.233: icmp_seq=21 ttl=53 time=31.6 ms
[2023-05-16 14:27:23.316482] 46 bytes from 155.146.178.233: icmp_seq=22 ttl=53 time=31.3 ms
[2023-05-16 14:27:23.516694] 46 bytes from 155.146.178.233: icmp_seq=23 ttl=53 time=30.6 ms
[2023-05-16 14:27:23.715636] 46 bytes from 155.146.178.233: icmp_seq=24 ttl=53 time=29.3 ms
[2023-05-16 14:27:23.916618] 46 bytes from 155.146.178.233: icmp_seq=25 ttl=53 time=29.3 ms
[2023-05-16 14:27:24.116685] 46 bytes from 155.146.178.233: icmp_seq=26 ttl=53 time=28.3 ms
[2023-05-16 14:27:24.326541] 46 bytes from 155.146.178.233: icmp_seq=27 ttl=53 time=37.2 ms
[2023-05-16 14:27:24.526526] 46 bytes from 155.146.178.233: icmp_seq=28 ttl=53 time=36.4 ms
[2023-05-16 14:27:24.727806] 46 bytes from 155.146.178.233: icmp_seq=29 ttl=53 time=36.6 ms
[2023-05-16 14:27:24.926543] 46 bytes from 155.146.178.233: icmp_seq=30 ttl=53 time=34.1 ms
[2023-05-16 14:27:25.126652] 46 bytes from 155.146.178.233: icmp_seq=31 ttl=53 time=33.4 ms
[2023-05-16 14:27:25.325565] 46 bytes from 155.146.178.233: icmp_seq=32 ttl=53 time=31.2 ms
[2023-05-16 14:27:25.534598] 46 bytes from 155.146.178.233: icmp_seq=33 ttl=53 time=39.4 ms
[2023-05-16 14:27:25.734598] 46 bytes from 155.146.178.233: icmp_seq=34 ttl=53 time=38.3 ms
[2023-05-16 14:27:25.926638] 46 bytes from 155.146.178.233: icmp_seq=35 ttl=53 time=29.3 ms
[2023-05-16 14:27:26.125501] 46 bytes from 155.146.178.233: icmp_seq=36 ttl=53 time=27.3 ms
[2023-05-16 14:27:26.336627] 46 bytes from 155.146.178.233: icmp_seq=37 ttl=53 time=37.4 ms
[2023-05-16 14:27:26.536840] 46 bytes from 155.146.178.233: icmp_seq=38 ttl=53 time=36.4 ms
[2023-05-16 14:27:26.736554] 46 bytes from 155.146.178.233: icmp_seq=39 ttl=53 time=35.1 ms
[2023-05-16 14:27:26.942521] 46 bytes from 155.146.178.233: icmp_seq=40 ttl=53 time=40.4 ms
[2023-05-16 14:27:27.136748] 46 bytes from 155.146.178.233: icmp_seq=41 ttl=53 time=33.7 ms
[2023-05-16 14:27:27.336560] 46 bytes from 155.146.178.233: icmp_seq=42 ttl=53 time=33.0 ms
[2023-05-16 14:27:27.544605] 46 bytes from 155.146.178.233: icmp_seq=43 ttl=53 time=40.5 ms
[2023-05-16 14:27:27.752572] 46 bytes from 155.146.178.233: icmp_seq=44 ttl=53 time=47.2 ms
[2023-05-16 14:27:27.936424] 46 bytes from 155.146.178.233: icmp_seq=45 ttl=53 time=30.2 ms
[2023-05-16 14:27:28.136699] 46 bytes from 155.146.178.233: icmp_seq=46 ttl=53 time=29.7 ms
[2023-05-16 14:27:28.352779] 46 bytes from 155.146.178.233: icmp_seq=47 ttl=53 time=45.4 ms
[2023-05-16 14:27:28.552960] 46 bytes from 155.146.178.233: icmp_seq=48 ttl=53 time=44.6 ms
[2023-05-16 14:27:28.746720] 46 bytes from 155.146.178.233: icmp_seq=49 ttl=53 time=37.0 ms
[2023-05-16 14:27:28.947392] 46 bytes from 155.146.178.233: icmp_seq=50 ttl=53 time=36.7 ms
[2023-05-16 14:27:29.146637] 46 bytes from 155.146.178.233: icmp_seq=51 ttl=53 time=35.5 ms
[2023-05-16 14:27:29.346686] 46 bytes from 155.146.178.233: icmp_seq=52 ttl=53 time=34.4 ms
[2023-05-16 14:27:29.554699] 46 bytes from 155.146.178.233: icmp_seq=53 ttl=53 time=41.3 ms
[2023-05-16 14:27:29.746690] 46 bytes from 155.146.178.233: icmp_seq=54 ttl=53 time=32.2 ms
[2023-05-16 14:27:29.954727] 46 bytes from 155.146.178.233: icmp_seq=55 ttl=53 time=39.3 ms
[2023-05-16 14:27:30.146567] 46 bytes from 155.146.178.233: icmp_seq=56 ttl=53 time=30.1 ms
[2023-05-16 14:27:30.346651] 46 bytes from 155.146.178.233: icmp_seq=57 ttl=53 time=29.3 ms
[2023-05-16 14:27:30.546687] 46 bytes from 155.146.178.233: icmp_seq=58 ttl=53 time=28.3 ms
[2023-05-16 14:27:30.764586] 46 bytes from 155.146.178.233: icmp_seq=59 ttl=53 time=45.3 ms
