Start time: 1691255532326
[2023-08-05 13:12:12.442559] PING 54.197.223.49 (54.197.223.49) 38(66) bytes of data.
[2023-08-05 13:12:12.443032] 46 bytes from 54.197.223.49: icmp_seq=1 ttl=50 time=69.6 ms
[2023-08-05 13:12:12.634885] 46 bytes from 54.197.223.49: icmp_seq=2 ttl=50 time=60.4 ms
[2023-08-05 13:12:12.826670] 46 bytes from 54.197.223.49: icmp_seq=3 ttl=50 time=51.9 ms
[2023-08-05 13:12:13.024399] 46 bytes from 54.197.223.49: icmp_seq=4 ttl=50 time=49.1 ms
[2023-08-05 13:12:13.224215] 46 bytes from 54.197.223.49: icmp_seq=5 ttl=50 time=49.3 ms
[2023-08-05 13:12:13.424560] 46 bytes from 54.197.223.49: icmp_seq=6 ttl=50 time=48.7 ms
[2023-08-05 13:12:13.625332] 46 bytes from 54.197.223.49: icmp_seq=7 ttl=50 time=49.1 ms
[2023-08-05 13:12:13.824594] 46 bytes from 54.197.223.49: icmp_seq=8 ttl=50 time=47.5 ms
[2023-08-05 13:12:14.024077] 46 bytes from 54.197.223.49: icmp_seq=9 ttl=50 time=45.9 ms
[2023-08-05 13:12:14.224552] 46 bytes from 54.197.223.49: icmp_seq=10 ttl=50 time=46.9 ms
[2023-08-05 13:12:14.432389] 46 bytes from 54.197.223.49: icmp_seq=11 ttl=50 time=54.1 ms
[2023-08-05 13:12:14.649690] 46 bytes from 54.197.223.49: icmp_seq=12 ttl=50 time=70.3 ms
[2023-08-05 13:12:14.824181] 46 bytes from 54.197.223.49: icmp_seq=13 ttl=50 time=43.8 ms
[2023-08-05 13:12:15.024538] 46 bytes from 54.197.223.49: icmp_seq=14 ttl=50 time=43.6 ms
[2023-08-05 13:12:15.235198] 46 bytes from 54.197.223.49: icmp_seq=15 ttl=50 time=55.2 ms
[2023-08-05 13:12:15.424442] 46 bytes from 54.197.223.49: icmp_seq=16 ttl=50 time=43.5 ms
[2023-08-05 13:12:15.630275] 46 bytes from 54.197.223.49: icmp_seq=17 ttl=50 time=48.1 ms
[2023-08-05 13:12:15.834501] 46 bytes from 54.197.223.49: icmp_seq=18 ttl=50 time=51.5 ms
[2023-08-05 13:12:16.053284] 46 bytes from 54.197.223.49: icmp_seq=19 ttl=50 time=69.2 ms
