Start time: 1691529011632
[2023-08-08 17:10:11.764381] PING 54.197.223.49 (54.197.223.49) 38(66) bytes of data.
[2023-08-08 17:10:11.764801] 46 bytes from 54.197.223.49: icmp_seq=1 ttl=52 time=76.2 ms
[2023-08-08 17:10:11.952942] 46 bytes from 54.197.223.49: icmp_seq=2 ttl=52 time=68.4 ms
[2023-08-08 17:10:12.148657] 46 bytes from 54.197.223.49: icmp_seq=3 ttl=52 time=63.0 ms
[2023-08-08 17:10:12.375041] 46 bytes from 54.197.223.49: icmp_seq=4 ttl=52 time=88.4 ms
[2023-08-08 17:10:12.554347] 46 bytes from 54.197.223.49: icmp_seq=5 ttl=52 time=67.8 ms
[2023-08-08 17:10:12.766894] 46 bytes from 54.197.223.49: icmp_seq=6 ttl=52 time=79.8 ms
[2023-08-08 17:10:12.945820] 46 bytes from 54.197.223.49: icmp_seq=7 ttl=52 time=58.3 ms
[2023-08-08 17:10:13.150016] 46 bytes from 54.197.223.49: icmp_seq=8 ttl=52 time=61.4 ms
[2023-08-08 17:10:13.345740] 46 bytes from 54.197.223.49: icmp_seq=9 ttl=52 time=56.2 ms
[2023-08-08 17:10:13.548813] 46 bytes from 54.197.223.49: icmp_seq=10 ttl=52 time=58.3 ms
[2023-08-08 17:10:13.757773] 46 bytes from 54.197.223.49: icmp_seq=11 ttl=52 time=66.2 ms
[2023-08-08 17:10:13.966771] 46 bytes from 54.197.223.49: icmp_seq=12 ttl=52 time=74.3 ms
[2023-08-08 17:10:14.145666] 46 bytes from 54.197.223.49: icmp_seq=13 ttl=52 time=52.4 ms
[2023-08-08 17:10:14.355587] 46 bytes from 54.197.223.49: icmp_seq=14 ttl=52 time=61.2 ms
[2023-08-08 17:10:14.562643] 46 bytes from 54.197.223.49: icmp_seq=15 ttl=52 time=67.4 ms
[2023-08-08 17:10:14.755634] 46 bytes from 54.197.223.49: icmp_seq=16 ttl=52 time=59.3 ms
[2023-08-08 17:10:14.956537] 46 bytes from 54.197.223.49: icmp_seq=17 ttl=52 time=59.3 ms
[2023-08-08 17:10:15.155688] 46 bytes from 54.197.223.49: icmp_seq=18 ttl=52 time=57.4 ms
[2023-08-08 17:10:15.355535] 46 bytes from 54.197.223.49: icmp_seq=19 ttl=52 time=56.3 ms
[2023-08-08 17:10:15.566596] 46 bytes from 54.197.223.49: icmp_seq=20 ttl=52 time=66.3 ms
[2023-08-08 17:10:15.772675] 46 bytes from 54.197.223.49: icmp_seq=21 ttl=52 time=71.3 ms
[2023-08-08 17:10:15.966867] 46 bytes from 54.197.223.49: icmp_seq=22 ttl=52 time=64.5 ms
[2023-08-08 17:10:16.172694] 46 bytes from 54.197.223.49: icmp_seq=23 ttl=52 time=69.1 ms
[2023-08-08 17:10:16.367868] 46 bytes from 54.197.223.49: icmp_seq=24 ttl=52 time=63.3 ms
[2023-08-08 17:10:16.572571] 46 bytes from 54.197.223.49: icmp_seq=25 ttl=52 time=67.2 ms
[2023-08-08 17:10:16.767676] 46 bytes from 54.197.223.49: icmp_seq=26 ttl=52 time=61.4 ms
[2023-08-08 17:10:16.973767] 46 bytes from 54.197.223.49: icmp_seq=27 ttl=52 time=66.3 ms
[2023-08-08 17:10:17.166745] 46 bytes from 54.197.223.49: icmp_seq=28 ttl=52 time=58.3 ms
[2023-08-08 17:10:17.372587] 46 bytes from 54.197.223.49: icmp_seq=29 ttl=52 time=63.3 ms
[2023-08-08 17:10:17.566952] 46 bytes from 54.197.223.49: icmp_seq=30 ttl=52 time=56.5 ms
[2023-08-08 17:10:17.772956] 46 bytes from 54.197.223.49: icmp_seq=31 ttl=52 time=62.2 ms
[2023-08-08 17:10:17.976059] 46 bytes from 54.197.223.49: icmp_seq=32 ttl=52 time=64.3 ms
[2023-08-08 17:10:18.185840] 46 bytes from 54.197.223.49: icmp_seq=33 ttl=52 time=73.2 ms
[2023-08-08 17:10:18.375749] 46 bytes from 54.197.223.49: icmp_seq=34 ttl=52 time=62.1 ms
[2023-08-08 17:10:18.585646] 46 bytes from 54.197.223.49: icmp_seq=35 ttl=52 time=71.4 ms
[2023-08-08 17:10:18.777035] 46 bytes from 54.197.223.49: icmp_seq=36 ttl=52 time=61.6 ms
[2023-08-08 17:10:18.984989] 46 bytes from 54.197.223.49: icmp_seq=37 ttl=52 time=69.1 ms
[2023-08-08 17:10:19.175800] 46 bytes from 54.197.223.49: icmp_seq=38 ttl=52 time=59.1 ms
[2023-08-08 17:10:19.385619] 46 bytes from 54.197.223.49: icmp_seq=39 ttl=52 time=68.3 ms
[2023-08-08 17:10:19.575809] 46 bytes from 54.197.223.49: icmp_seq=40 ttl=52 time=57.3 ms
