Start time: 1691529031567
[2023-08-08 17:10:31.667886] PING 54.197.223.49 (54.197.223.49) 38(66) bytes of data.
[2023-08-08 17:10:31.668243] 46 bytes from 54.197.223.49: icmp_seq=1 ttl=49 time=62.0 ms
[2023-08-08 17:10:31.849308] 46 bytes from 54.197.223.49: icmp_seq=2 ttl=49 time=42.5 ms
[2023-08-08 17:10:32.049104] 46 bytes from 54.197.223.49: icmp_seq=3 ttl=49 time=42.1 ms
[2023-08-08 17:10:32.249333] 46 bytes from 54.197.223.49: icmp_seq=4 ttl=49 time=41.4 ms
[2023-08-08 17:10:32.448833] 46 bytes from 54.197.223.49: icmp_seq=5 ttl=49 time=40.0 ms
[2023-08-08 17:10:32.649133] 46 bytes from 54.197.223.49: icmp_seq=6 ttl=49 time=39.7 ms
[2023-08-08 17:10:32.848917] 46 bytes from 54.197.223.49: icmp_seq=7 ttl=49 time=39.2 ms
[2023-08-08 17:10:33.049215] 46 bytes from 54.197.223.49: icmp_seq=8 ttl=49 time=38.6 ms
[2023-08-08 17:10:33.249269] 46 bytes from 54.197.223.49: icmp_seq=9 ttl=49 time=37.2 ms
[2023-08-08 17:10:33.449323] 46 bytes from 54.197.223.49: icmp_seq=10 ttl=49 time=36.2 ms
[2023-08-08 17:10:33.649166] 46 bytes from 54.197.223.49: icmp_seq=11 ttl=49 time=35.1 ms
[2023-08-08 17:10:33.849228] 46 bytes from 54.197.223.49: icmp_seq=12 ttl=49 time=34.3 ms
[2023-08-08 17:10:34.059097] 46 bytes from 54.197.223.49: icmp_seq=13 ttl=49 time=43.2 ms
[2023-08-08 17:10:34.259226] 46 bytes from 54.197.223.49: icmp_seq=14 ttl=49 time=42.3 ms
[2023-08-08 17:10:34.460168] 46 bytes from 54.197.223.49: icmp_seq=15 ttl=49 time=42.3 ms
[2023-08-08 17:10:34.659245] 46 bytes from 54.197.223.49: icmp_seq=16 ttl=49 time=40.2 ms
[2023-08-08 17:10:34.859011] 46 bytes from 54.197.223.49: icmp_seq=17 ttl=49 time=39.2 ms
[2023-08-08 17:10:35.060240] 46 bytes from 54.197.223.49: icmp_seq=18 ttl=49 time=39.5 ms
[2023-08-08 17:10:35.259132] 46 bytes from 54.197.223.49: icmp_seq=19 ttl=49 time=37.2 ms
[2023-08-08 17:10:35.459086] 46 bytes from 54.197.223.49: icmp_seq=20 ttl=49 time=36.2 ms
[2023-08-08 17:10:35.658052] 46 bytes from 54.197.223.49: icmp_seq=21 ttl=49 time=34.3 ms
[2023-08-08 17:10:35.859169] 46 bytes from 54.197.223.49: icmp_seq=22 ttl=49 time=34.4 ms
[2023-08-08 17:10:36.068971] 46 bytes from 54.197.223.49: icmp_seq=23 ttl=49 time=43.2 ms
[2023-08-08 17:10:36.269144] 46 bytes from 54.197.223.49: icmp_seq=24 ttl=49 time=42.3 ms
[2023-08-08 17:10:36.468977] 46 bytes from 54.197.223.49: icmp_seq=25 ttl=49 time=41.3 ms
[2023-08-08 17:10:36.669150] 46 bytes from 54.197.223.49: icmp_seq=26 ttl=49 time=40.3 ms
[2023-08-08 17:10:36.870247] 46 bytes from 54.197.223.49: icmp_seq=27 ttl=49 time=40.4 ms
[2023-08-08 17:10:37.069269] 46 bytes from 54.197.223.49: icmp_seq=28 ttl=49 time=38.3 ms
[2023-08-08 17:10:37.269044] 46 bytes from 54.197.223.49: icmp_seq=29 ttl=49 time=37.2 ms
[2023-08-08 17:10:37.469339] 46 bytes from 54.197.223.49: icmp_seq=30 ttl=49 time=36.4 ms
[2023-08-08 17:10:37.676914] 46 bytes from 54.197.223.49: icmp_seq=31 ttl=49 time=44.0 ms
[2023-08-08 17:10:37.869312] 46 bytes from 54.197.223.49: icmp_seq=32 ttl=49 time=35.6 ms
[2023-08-08 17:10:38.077020] 46 bytes from 54.197.223.49: icmp_seq=33 ttl=49 time=43.0 ms
[2023-08-08 17:10:38.269090] 46 bytes from 54.197.223.49: icmp_seq=34 ttl=49 time=34.2 ms
[2023-08-08 17:10:38.479053] 46 bytes from 54.197.223.49: icmp_seq=35 ttl=49 time=43.2 ms
[2023-08-08 17:10:38.679213] 46 bytes from 54.197.223.49: icmp_seq=36 ttl=49 time=42.5 ms
[2023-08-08 17:10:38.879046] 46 bytes from 54.197.223.49: icmp_seq=37 ttl=49 time=41.1 ms
[2023-08-08 17:10:39.080282] 46 bytes from 54.197.223.49: icmp_seq=38 ttl=49 time=41.4 ms
[2023-08-08 17:10:39.279005] 46 bytes from 54.197.223.49: icmp_seq=39 ttl=49 time=39.1 ms
[2023-08-08 17:10:39.480315] 46 bytes from 54.197.223.49: icmp_seq=40 ttl=49 time=39.4 ms
[2023-08-08 17:10:39.679402] 46 bytes from 54.197.223.49: icmp_seq=41 ttl=49 time=37.2 ms
[2023-08-08 17:10:39.879201] 46 bytes from 54.197.223.49: icmp_seq=42 ttl=49 time=36.1 ms
[2023-08-08 17:10:40.078984] 46 bytes from 54.197.223.49: icmp_seq=43 ttl=49 time=35.3 ms
[2023-08-08 17:10:40.280230] 46 bytes from 54.197.223.49: icmp_seq=44 ttl=49 time=35.4 ms
[2023-08-08 17:10:40.489130] 46 bytes from 54.197.223.49: icmp_seq=45 ttl=49 time=43.3 ms
[2023-08-08 17:10:40.689127] 46 bytes from 54.197.223.49: icmp_seq=46 ttl=49 time=42.2 ms
[2023-08-08 17:10:40.889210] 46 bytes from 54.197.223.49: icmp_seq=47 ttl=49 time=41.3 ms
[2023-08-08 17:10:41.088141] 46 bytes from 54.197.223.49: icmp_seq=48 ttl=49 time=39.2 ms
[2023-08-08 17:10:41.287871] 46 bytes from 54.197.223.49: icmp_seq=49 ttl=49 time=38.3 ms
[2023-08-08 17:10:41.489100] 46 bytes from 54.197.223.49: icmp_seq=50 ttl=49 time=38.4 ms
[2023-08-08 17:10:41.689196] 46 bytes from 54.197.223.49: icmp_seq=51 ttl=49 time=37.3 ms
[2023-08-08 17:10:41.889405] 46 bytes from 54.197.223.49: icmp_seq=52 ttl=49 time=36.4 ms
[2023-08-08 17:10:42.089563] 46 bytes from 54.197.223.49: icmp_seq=53 ttl=49 time=35.2 ms
[2023-08-08 17:10:42.299386] 46 bytes from 54.197.223.49: icmp_seq=54 ttl=49 time=44.2 ms
[2023-08-08 17:10:42.498852] 46 bytes from 54.197.223.49: icmp_seq=55 ttl=49 time=43.0 ms
[2023-08-08 17:10:42.699096] 46 bytes from 54.197.223.49: icmp_seq=56 ttl=49 time=42.5 ms
[2023-08-08 17:10:42.899143] 46 bytes from 54.197.223.49: icmp_seq=57 ttl=49 time=41.2 ms
[2023-08-08 17:10:43.099293] 46 bytes from 54.197.223.49: icmp_seq=58 ttl=49 time=40.3 ms
[2023-08-08 17:10:43.299953] 46 bytes from 54.197.223.49: icmp_seq=59 ttl=49 time=40.1 ms
[2023-08-08 17:10:43.498196] 46 bytes from 54.197.223.49: icmp_seq=60 ttl=49 time=37.4 ms
[2023-08-08 17:10:43.699149] 46 bytes from 54.197.223.49: icmp_seq=61 ttl=49 time=37.2 ms
[2023-08-08 17:10:43.909332] 46 bytes from 54.197.223.49: icmp_seq=62 ttl=49 time=46.3 ms
[2023-08-08 17:10:44.100206] 46 bytes from 54.197.223.49: icmp_seq=63 ttl=49 time=36.1 ms
[2023-08-08 17:10:44.308153] 46 bytes from 54.197.223.49: icmp_seq=64 ttl=49 time=43.2 ms
[2023-08-08 17:10:44.525025] 46 bytes from 54.197.223.49: icmp_seq=65 ttl=49 time=59.3 ms
[2023-08-08 17:10:44.732177] 46 bytes from 54.197.223.49: icmp_seq=66 ttl=49 time=65.3 ms
[2023-08-08 17:10:44.917088] 46 bytes from 54.197.223.49: icmp_seq=67 ttl=49 time=49.2 ms
[2023-08-08 17:10:45.109059] 46 bytes from 54.197.223.49: icmp_seq=68 ttl=49 time=40.2 ms
[2023-08-08 17:10:45.316038] 46 bytes from 54.197.223.49: icmp_seq=69 ttl=49 time=46.4 ms
[2023-08-08 17:10:45.516367] 46 bytes from 54.197.223.49: icmp_seq=70 ttl=49 time=45.5 ms
[2023-08-08 17:10:45.718014] 46 bytes from 54.197.223.49: icmp_seq=71 ttl=49 time=46.0 ms
[2023-08-08 17:10:45.917316] 46 bytes from 54.197.223.49: icmp_seq=72 ttl=49 time=44.5 ms
[2023-08-08 17:10:46.109060] 46 bytes from 54.197.223.49: icmp_seq=73 ttl=49 time=35.2 ms
[2023-08-08 17:10:46.309881] 46 bytes from 54.197.223.49: icmp_seq=74 ttl=49 time=34.9 ms
[2023-08-08 17:10:46.519397] 46 bytes from 54.197.223.49: icmp_seq=75 ttl=49 time=43.7 ms
[2023-08-08 17:10:46.728448] 46 bytes from 54.197.223.49: icmp_seq=76 ttl=49 time=52.1 ms
[2023-08-08 17:10:46.922181] 46 bytes from 54.197.223.49: icmp_seq=77 ttl=49 time=45.1 ms
[2023-08-08 17:10:47.119021] 46 bytes from 54.197.223.49: icmp_seq=78 ttl=49 time=41.1 ms
[2023-08-08 17:10:47.318945] 46 bytes from 54.197.223.49: icmp_seq=79 ttl=49 time=40.4 ms
[2023-08-08 17:10:47.520040] 46 bytes from 54.197.223.49: icmp_seq=80 ttl=49 time=40.3 ms
[2023-08-08 17:10:47.719170] 46 bytes from 54.197.223.49: icmp_seq=81 ttl=49 time=38.4 ms
[2023-08-08 17:10:47.919521] 46 bytes from 54.197.223.49: icmp_seq=82 ttl=49 time=37.5 ms
[2023-08-08 17:10:48.126111] 46 bytes from 54.197.223.49: icmp_seq=83 ttl=49 time=44.0 ms
[2023-08-08 17:10:48.317980] 46 bytes from 54.197.223.49: icmp_seq=84 ttl=49 time=35.1 ms
[2023-08-08 17:10:48.519146] 46 bytes from 54.197.223.49: icmp_seq=85 ttl=49 time=35.7 ms
[2023-08-08 17:10:48.735263] 46 bytes from 54.197.223.49: icmp_seq=86 ttl=49 time=50.2 ms
[2023-08-08 17:10:48.937359] 46 bytes from 54.197.223.49: icmp_seq=87 ttl=49 time=51.3 ms
[2023-08-08 17:10:49.129166] 46 bytes from 54.197.223.49: icmp_seq=88 ttl=49 time=42.0 ms
[2023-08-08 17:10:49.327825] 46 bytes from 54.197.223.49: icmp_seq=89 ttl=49 time=40.2 ms
[2023-08-08 17:10:49.529018] 46 bytes from 54.197.223.49: icmp_seq=90 ttl=49 time=40.6 ms
[2023-08-08 17:10:49.728908] 46 bytes from 54.197.223.49: icmp_seq=91 ttl=49 time=39.4 ms
[2023-08-08 17:10:49.929240] 46 bytes from 54.197.223.49: icmp_seq=92 ttl=49 time=38.4 ms
[2023-08-08 17:10:50.132963] 46 bytes from 54.197.223.49: icmp_seq=93 ttl=49 time=41.2 ms
[2023-08-08 17:10:50.329110] 46 bytes from 54.197.223.49: icmp_seq=94 ttl=49 time=36.3 ms
[2023-08-08 17:10:50.529861] 46 bytes from 54.197.223.49: icmp_seq=95 ttl=49 time=36.3 ms
[2023-08-08 17:10:50.729133] 46 bytes from 54.197.223.49: icmp_seq=96 ttl=49 time=34.3 ms
[2023-08-08 17:10:50.947240] 46 bytes from 54.197.223.49: icmp_seq=97 ttl=49 time=51.4 ms
