Start time: 1684028321433
[2023-05-13 21:38:41.575765] PING 3.129.108.199 (3.129.108.199) 38(66) bytes of data.
[2023-05-13 21:38:41.576251] 46 bytes from 3.129.108.199: icmp_seq=1 ttl=48 time=89.9 ms
[2023-05-13 21:38:41.740655] 46 bytes from 3.129.108.199: icmp_seq=2 ttl=48 time=54.2 ms
[2023-05-13 21:38:41.945060] 46 bytes from 3.129.108.199: icmp_seq=3 ttl=48 time=58.0 ms
[2023-05-13 21:38:42.143477] 46 bytes from 3.129.108.199: icmp_seq=4 ttl=48 time=55.9 ms
[2023-05-13 21:38:42.363105] 46 bytes from 3.129.108.199: icmp_seq=5 ttl=48 time=75.0 ms
[2023-05-13 21:38:42.550625] 46 bytes from 3.129.108.199: icmp_seq=6 ttl=48 time=62.2 ms
[2023-05-13 21:38:42.750524] 46 bytes from 3.129.108.199: icmp_seq=7 ttl=48 time=61.5 ms
[2023-05-13 21:38:42.956898] 46 bytes from 3.129.108.199: icmp_seq=8 ttl=48 time=66.7 ms
[2023-05-13 21:38:43.145841] 46 bytes from 3.129.108.199: icmp_seq=9 ttl=48 time=55.4 ms
[2023-05-13 21:38:43.356790] 46 bytes from 3.129.108.199: icmp_seq=10 ttl=48 time=65.4 ms
[2023-05-13 21:38:43.557627] 46 bytes from 3.129.108.199: icmp_seq=11 ttl=48 time=65.4 ms
[2023-05-13 21:38:43.755560] 46 bytes from 3.129.108.199: icmp_seq=12 ttl=48 time=62.5 ms
[2023-05-13 21:38:43.958752] 46 bytes from 3.129.108.199: icmp_seq=13 ttl=48 time=64.8 ms
[2023-05-13 21:38:44.164876] 46 bytes from 3.129.108.199: icmp_seq=14 ttl=48 time=70.5 ms
[2023-05-13 21:38:44.348626] 46 bytes from 3.129.108.199: icmp_seq=15 ttl=48 time=53.2 ms
[2023-05-13 21:38:44.552993] 46 bytes from 3.129.108.199: icmp_seq=16 ttl=48 time=56.7 ms
[2023-05-13 21:38:44.759813] 46 bytes from 3.129.108.199: icmp_seq=17 ttl=48 time=63.2 ms
[2023-05-13 21:38:44.994556] 46 bytes from 3.129.108.199: icmp_seq=18 ttl=48 time=97.3 ms
[2023-05-13 21:38:45.141781] 46 bytes from 3.129.108.199: icmp_seq=19 ttl=48 time=43.6 ms
[2023-05-13 21:38:45.352648] 46 bytes from 3.129.108.199: icmp_seq=20 ttl=48 time=54.2 ms
[2023-05-13 21:38:45.548546] 46 bytes from 3.129.108.199: icmp_seq=21 ttl=48 time=49.5 ms
[2023-05-13 21:38:45.756630] 46 bytes from 3.129.108.199: icmp_seq=22 ttl=48 time=56.6 ms
[2023-05-13 21:38:45.957467] 46 bytes from 3.129.108.199: icmp_seq=23 ttl=48 time=56.5 ms
[2023-05-13 21:38:46.156855] 46 bytes from 3.129.108.199: icmp_seq=24 ttl=48 time=54.8 ms
[2023-05-13 21:38:46.356800] 46 bytes from 3.129.108.199: icmp_seq=25 ttl=48 time=54.3 ms
[2023-05-13 21:38:46.558536] 46 bytes from 3.129.108.199: icmp_seq=26 ttl=48 time=55.4 ms
[2023-05-13 21:38:46.770635] 46 bytes from 3.129.108.199: icmp_seq=27 ttl=48 time=66.6 ms
[2023-05-13 21:38:46.961333] 46 bytes from 3.129.108.199: icmp_seq=28 ttl=48 time=56.3 ms
[2023-05-13 21:38:47.160658] 46 bytes from 3.129.108.199: icmp_seq=29 ttl=48 time=54.7 ms
[2023-05-13 21:38:47.357390] 46 bytes from 3.129.108.199: icmp_seq=30 ttl=48 time=50.4 ms
[2023-05-13 21:38:47.562793] 46 bytes from 3.129.108.199: icmp_seq=31 ttl=48 time=55.7 ms
[2023-05-13 21:38:47.749827] 46 bytes from 3.129.108.199: icmp_seq=32 ttl=48 time=42.5 ms
[2023-05-13 21:38:47.964037] 46 bytes from 3.129.108.199: icmp_seq=33 ttl=48 time=55.7 ms
[2023-05-13 21:38:48.160292] 46 bytes from 3.129.108.199: icmp_seq=34 ttl=48 time=50.6 ms
[2023-05-13 21:38:48.615996] 46 bytes from 3.129.108.199: icmp_seq=35 ttl=48 time=305 ms
[2023-05-13 21:38:48.616270] 46 bytes from 3.129.108.199: icmp_seq=36 ttl=48 time=97.6 ms
[2023-05-13 21:38:48.797557] 46 bytes from 3.129.108.199: icmp_seq=37 ttl=48 time=78.2 ms
[2023-05-13 21:38:48.977513] 46 bytes from 3.129.108.199: icmp_seq=38 ttl=48 time=57.6 ms
[2023-05-13 21:38:49.176642] 46 bytes from 3.129.108.199: icmp_seq=39 ttl=48 time=55.5 ms
[2023-05-13 21:38:49.378561] 46 bytes from 3.129.108.199: icmp_seq=40 ttl=48 time=56.5 ms
[2023-05-13 21:38:49.582786] 46 bytes from 3.129.108.199: icmp_seq=41 ttl=48 time=59.9 ms
[2023-05-13 21:38:49.777586] 46 bytes from 3.129.108.199: icmp_seq=42 ttl=48 time=54.4 ms
[2023-05-13 21:38:49.980565] 46 bytes from 3.129.108.199: icmp_seq=43 ttl=48 time=56.5 ms
[2023-05-13 21:38:50.172709] 46 bytes from 3.129.108.199: icmp_seq=44 ttl=48 time=47.5 ms
[2023-05-13 21:38:50.383017] 46 bytes from 3.129.108.199: icmp_seq=45 ttl=48 time=56.7 ms
[2023-05-13 21:38:50.579546] 46 bytes from 3.129.108.199: icmp_seq=46 ttl=48 time=52.1 ms
[2023-05-13 21:38:50.783990] 46 bytes from 3.129.108.199: icmp_seq=47 ttl=48 time=56.0 ms
