Start time: 1684009546020
[2023-05-13 16:25:46.147925] PING 3.129.108.199 (3.129.108.199) 38(66) bytes of data.
[2023-05-13 16:25:46.150329] 46 bytes from 3.129.108.199: icmp_seq=1 ttl=48 time=75.3 ms
[2023-05-13 16:25:46.345615] 46 bytes from 3.129.108.199: icmp_seq=2 ttl=48 time=72.0 ms
[2023-05-13 16:25:46.560947] 46 bytes from 3.129.108.199: icmp_seq=3 ttl=48 time=86.7 ms
[2023-05-13 16:25:46.756141] 46 bytes from 3.129.108.199: icmp_seq=4 ttl=48 time=81.4 ms
[2023-05-13 16:25:46.959927] 46 bytes from 3.129.108.199: icmp_seq=5 ttl=48 time=84.4 ms
[2023-05-13 16:25:47.170276] 46 bytes from 3.129.108.199: icmp_seq=6 ttl=48 time=93.8 ms
[2023-05-13 16:25:47.346265] 46 bytes from 3.129.108.199: icmp_seq=7 ttl=48 time=69.8 ms
[2023-05-13 16:25:47.555891] 46 bytes from 3.129.108.199: icmp_seq=8 ttl=48 time=79.2 ms
[2023-05-13 16:25:47.759964] 46 bytes from 3.129.108.199: icmp_seq=9 ttl=48 time=82.7 ms
[2023-05-13 16:25:47.957111] 46 bytes from 3.129.108.199: icmp_seq=10 ttl=48 time=78.7 ms
[2023-05-13 16:25:48.162051] 46 bytes from 3.129.108.199: icmp_seq=11 ttl=48 time=82.5 ms
[2023-05-13 16:25:48.359909] 46 bytes from 3.129.108.199: icmp_seq=12 ttl=48 time=79.5 ms
[2023-05-13 16:25:48.567110] 46 bytes from 3.129.108.199: icmp_seq=13 ttl=48 time=85.0 ms
[2023-05-13 16:25:48.763213] 46 bytes from 3.129.108.199: icmp_seq=14 ttl=48 time=80.1 ms
[2023-05-13 16:25:48.967278] 46 bytes from 3.129.108.199: icmp_seq=15 ttl=48 time=83.1 ms
[2023-05-13 16:25:49.167186] 46 bytes from 3.129.108.199: icmp_seq=16 ttl=48 time=82.4 ms
[2023-05-13 16:25:49.366153] 46 bytes from 3.129.108.199: icmp_seq=17 ttl=48 time=80.5 ms
[2023-05-13 16:25:49.556155] 46 bytes from 3.129.108.199: icmp_seq=18 ttl=48 time=69.6 ms
[2023-05-13 16:25:49.770777] 46 bytes from 3.129.108.199: icmp_seq=19 ttl=48 time=83.2 ms
[2023-05-13 16:25:49.976315] 46 bytes from 3.129.108.199: icmp_seq=20 ttl=48 time=87.9 ms
[2023-05-13 16:25:50.171952] 46 bytes from 3.129.108.199: icmp_seq=21 ttl=48 time=83.4 ms
[2023-05-13 16:25:50.372150] 46 bytes from 3.129.108.199: icmp_seq=22 ttl=48 time=82.8 ms
[2023-05-13 16:25:50.566479] 46 bytes from 3.129.108.199: icmp_seq=23 ttl=48 time=76.6 ms
[2023-05-13 16:25:50.766403] 46 bytes from 3.129.108.199: icmp_seq=24 ttl=48 time=76.2 ms
[2023-05-13 16:25:50.968955] 46 bytes from 3.129.108.199: icmp_seq=25 ttl=48 time=78.1 ms
[2023-05-13 16:25:51.176262] 46 bytes from 3.129.108.199: icmp_seq=26 ttl=48 time=84.8 ms
[2023-05-13 16:25:51.378108] 46 bytes from 3.129.108.199: icmp_seq=27 ttl=48 time=86.4 ms
[2023-05-13 16:25:51.580989] 46 bytes from 3.129.108.199: icmp_seq=28 ttl=48 time=88.4 ms
[2023-05-13 16:25:51.779137] 46 bytes from 3.129.108.199: icmp_seq=29 ttl=48 time=85.7 ms
[2023-05-13 16:25:51.966389] 46 bytes from 3.129.108.199: icmp_seq=30 ttl=48 time=72.7 ms
[2023-05-13 16:25:52.187051] 46 bytes from 3.129.108.199: icmp_seq=31 ttl=48 time=93.1 ms
[2023-05-13 16:25:52.366535] 46 bytes from 3.129.108.199: icmp_seq=32 ttl=48 time=71.8 ms
[2023-05-13 16:25:52.576451] 46 bytes from 3.129.108.199: icmp_seq=33 ttl=48 time=81.2 ms
[2023-05-13 16:25:52.766508] 46 bytes from 3.129.108.199: icmp_seq=34 ttl=48 time=70.4 ms
[2023-05-13 16:25:52.975442] 46 bytes from 3.129.108.199: icmp_seq=35 ttl=48 time=77.8 ms
[2023-05-13 16:25:53.176379] 46 bytes from 3.129.108.199: icmp_seq=36 ttl=48 time=78.2 ms
[2023-05-13 16:25:53.376256] 46 bytes from 3.129.108.199: icmp_seq=37 ttl=48 time=77.4 ms
[2023-05-13 16:25:53.576165] 46 bytes from 3.129.108.199: icmp_seq=38 ttl=48 time=76.5 ms
[2023-05-13 16:25:53.775035] 46 bytes from 3.129.108.199: icmp_seq=39 ttl=48 time=74.3 ms
[2023-05-13 16:25:53.994397] 46 bytes from 3.129.108.199: icmp_seq=40 ttl=48 time=92.8 ms
[2023-05-13 16:25:54.177907] 46 bytes from 3.129.108.199: icmp_seq=41 ttl=48 time=75.7 ms
[2023-05-13 16:25:54.385072] 46 bytes from 3.129.108.199: icmp_seq=42 ttl=48 time=82.8 ms
[2023-05-13 16:25:54.585236] 46 bytes from 3.129.108.199: icmp_seq=43 ttl=48 time=82.6 ms
[2023-05-13 16:25:54.786373] 46 bytes from 3.129.108.199: icmp_seq=44 ttl=48 time=83.4 ms
[2023-05-13 16:25:54.987265] 46 bytes from 3.129.108.199: icmp_seq=45 ttl=48 time=83.3 ms
[2023-05-13 16:25:55.186469] 46 bytes from 3.129.108.199: icmp_seq=46 ttl=48 time=81.5 ms
[2023-05-13 16:25:55.387308] 46 bytes from 3.129.108.199: icmp_seq=47 ttl=48 time=81.3 ms
[2023-05-13 16:25:55.587088] 46 bytes from 3.129.108.199: icmp_seq=48 ttl=48 time=80.3 ms
[2023-05-13 16:25:55.786292] 46 bytes from 3.129.108.199: icmp_seq=49 ttl=48 time=78.7 ms
[2023-05-13 16:25:55.987969] 46 bytes from 3.129.108.199: icmp_seq=50 ttl=48 time=80.2 ms
[2023-05-13 16:25:56.186041] 46 bytes from 3.129.108.199: icmp_seq=51 ttl=48 time=77.6 ms
[2023-05-13 16:25:56.387284] 46 bytes from 3.129.108.199: icmp_seq=52 ttl=48 time=77.8 ms
[2023-05-13 16:25:56.587025] 46 bytes from 3.129.108.199: icmp_seq=53 ttl=48 time=77.3 ms
[2023-05-13 16:25:56.786034] 46 bytes from 3.129.108.199: icmp_seq=54 ttl=48 time=75.5 ms
[2023-05-13 16:25:56.996349] 46 bytes from 3.129.108.199: icmp_seq=55 ttl=48 time=84.7 ms
[2023-05-13 16:25:57.196428] 46 bytes from 3.129.108.199: icmp_seq=56 ttl=48 time=84.4 ms
[2023-05-13 16:25:57.396044] 46 bytes from 3.129.108.199: icmp_seq=57 ttl=48 time=83.1 ms
[2023-05-13 16:25:57.596500] 46 bytes from 3.129.108.199: icmp_seq=58 ttl=48 time=82.8 ms
[2023-05-13 16:25:57.796314] 46 bytes from 3.129.108.199: icmp_seq=59 ttl=48 time=82.2 ms
[2023-05-13 16:25:57.996021] 46 bytes from 3.129.108.199: icmp_seq=60 ttl=48 time=81.2 ms
[2023-05-13 16:25:58.195077] 46 bytes from 3.129.108.199: icmp_seq=61 ttl=48 time=79.6 ms
[2023-05-13 16:25:58.396107] 46 bytes from 3.129.108.199: icmp_seq=62 ttl=48 time=79.5 ms
[2023-05-13 16:25:58.596006] 46 bytes from 3.129.108.199: icmp_seq=63 ttl=48 time=78.4 ms
[2023-05-13 16:25:58.796090] 46 bytes from 3.129.108.199: icmp_seq=64 ttl=48 time=77.6 ms
[2023-05-13 16:25:58.996913] 46 bytes from 3.129.108.199: icmp_seq=65 ttl=48 time=76.6 ms
[2023-05-13 16:25:59.196059] 46 bytes from 3.129.108.199: icmp_seq=66 ttl=48 time=75.4 ms
[2023-05-13 16:25:59.413377] 46 bytes from 3.129.108.199: icmp_seq=67 ttl=48 time=91.7 ms
[2023-05-13 16:25:59.593408] 46 bytes from 3.129.108.199: icmp_seq=68 ttl=48 time=71.4 ms
[2023-05-13 16:25:59.796367] 46 bytes from 3.129.108.199: icmp_seq=69 ttl=48 time=73.1 ms
[2023-05-13 16:26:00.010278] 46 bytes from 3.129.108.199: icmp_seq=70 ttl=48 time=86.3 ms
[2023-05-13 16:26:00.206169] 46 bytes from 3.129.108.199: icmp_seq=71 ttl=48 time=82.4 ms
[2023-05-13 16:26:00.413113] 46 bytes from 3.129.108.199: icmp_seq=72 ttl=48 time=88.5 ms
[2023-05-13 16:26:00.597294] 46 bytes from 3.129.108.199: icmp_seq=73 ttl=48 time=71.7 ms
[2023-05-13 16:26:00.808845] 46 bytes from 3.129.108.199: icmp_seq=74 ttl=48 time=83.1 ms
[2023-05-13 16:26:01.006007] 46 bytes from 3.129.108.199: icmp_seq=75 ttl=48 time=79.6 ms
[2023-05-13 16:26:01.207001] 46 bytes from 3.129.108.199: icmp_seq=76 ttl=48 time=80.6 ms
[2023-05-13 16:26:01.406175] 46 bytes from 3.129.108.199: icmp_seq=77 ttl=48 time=78.7 ms
[2023-05-13 16:26:01.607738] 46 bytes from 3.129.108.199: icmp_seq=78 ttl=48 time=80.1 ms
[2023-05-13 16:26:01.806283] 46 bytes from 3.129.108.199: icmp_seq=79 ttl=48 time=77.9 ms
[2023-05-13 16:26:02.006338] 46 bytes from 3.129.108.199: icmp_seq=80 ttl=48 time=77.5 ms
[2023-05-13 16:26:02.205541] 46 bytes from 3.129.108.199: icmp_seq=81 ttl=48 time=76.5 ms
[2023-05-13 16:26:02.406023] 46 bytes from 3.129.108.199: icmp_seq=82 ttl=48 time=76.0 ms
