Start time: 1684094976831
[2023-05-14 16:09:36.920952] PING 3.129.108.199 (3.129.108.199) 38(66) bytes of data.
[2023-05-14 16:09:36.921357] 46 bytes from 3.129.108.199: icmp_seq=1 ttl=45 time=42.8 ms
[2023-05-14 16:09:37.121620] 46 bytes from 3.129.108.199: icmp_seq=2 ttl=45 time=42.9 ms
[2023-05-14 16:09:37.321416] 46 bytes from 3.129.108.199: icmp_seq=3 ttl=45 time=42.2 ms
[2023-05-14 16:09:37.526253] 46 bytes from 3.129.108.199: icmp_seq=4 ttl=45 time=46.2 ms
[2023-05-14 16:09:37.726107] 46 bytes from 3.129.108.199: icmp_seq=5 ttl=45 time=45.2 ms
[2023-05-14 16:09:37.922408] 46 bytes from 3.129.108.199: icmp_seq=6 ttl=45 time=40.6 ms
[2023-05-14 16:09:38.121240] 46 bytes from 3.129.108.199: icmp_seq=7 ttl=45 time=39.1 ms
[2023-05-14 16:09:38.326188] 46 bytes from 3.129.108.199: icmp_seq=8 ttl=45 time=43.2 ms
[2023-05-14 16:09:38.526536] 46 bytes from 3.129.108.199: icmp_seq=9 ttl=45 time=42.7 ms
[2023-05-14 16:09:38.731309] 46 bytes from 3.129.108.199: icmp_seq=10 ttl=45 time=47.1 ms
[2023-05-14 16:09:38.926824] 46 bytes from 3.129.108.199: icmp_seq=11 ttl=45 time=41.8 ms
[2023-05-14 16:09:39.131496] 46 bytes from 3.129.108.199: icmp_seq=12 ttl=45 time=45.8 ms
[2023-05-14 16:09:39.336321] 46 bytes from 3.129.108.199: icmp_seq=13 ttl=45 time=50.2 ms
[2023-05-14 16:09:39.526028] 46 bytes from 3.129.108.199: icmp_seq=14 ttl=45 time=39.0 ms
[2023-05-14 16:09:39.731209] 46 bytes from 3.129.108.199: icmp_seq=15 ttl=45 time=43.6 ms
[2023-05-14 16:09:39.931142] 46 bytes from 3.129.108.199: icmp_seq=16 ttl=45 time=42.2 ms
[2023-05-14 16:09:40.132337] 46 bytes from 3.129.108.199: icmp_seq=17 ttl=45 time=42.5 ms
[2023-05-14 16:09:40.336340] 46 bytes from 3.129.108.199: icmp_seq=18 ttl=45 time=45.3 ms
[2023-05-14 16:09:40.532336] 46 bytes from 3.129.108.199: icmp_seq=19 ttl=45 time=40.3 ms
[2023-05-14 16:09:40.732287] 46 bytes from 3.129.108.199: icmp_seq=20 ttl=45 time=39.3 ms
[2023-05-14 16:09:40.958436] 46 bytes from 3.129.108.199: icmp_seq=21 ttl=45 time=64.5 ms
[2023-05-14 16:09:41.142580] 46 bytes from 3.129.108.199: icmp_seq=22 ttl=45 time=47.4 ms
[2023-05-14 16:09:41.336855] 46 bytes from 3.129.108.199: icmp_seq=23 ttl=45 time=40.6 ms
[2023-05-14 16:09:41.541224] 46 bytes from 3.129.108.199: icmp_seq=24 ttl=45 time=44.8 ms
[2023-05-14 16:09:41.736536] 46 bytes from 3.129.108.199: icmp_seq=25 ttl=45 time=39.7 ms
[2023-05-14 16:09:41.937264] 46 bytes from 3.129.108.199: icmp_seq=26 ttl=45 time=39.9 ms
[2023-05-14 16:09:42.141266] 46 bytes from 3.129.108.199: icmp_seq=27 ttl=45 time=43.4 ms
[2023-05-14 16:09:42.346020] 46 bytes from 3.129.108.199: icmp_seq=28 ttl=45 time=47.1 ms
[2023-05-14 16:09:42.546152] 46 bytes from 3.129.108.199: icmp_seq=29 ttl=45 time=46.4 ms
[2023-05-14 16:09:42.751636] 46 bytes from 3.129.108.199: icmp_seq=30 ttl=45 time=50.7 ms
[2023-05-14 16:09:42.942446] 46 bytes from 3.129.108.199: icmp_seq=31 ttl=45 time=41.1 ms
[2023-05-14 16:09:43.146276] 46 bytes from 3.129.108.199: icmp_seq=32 ttl=45 time=44.2 ms
[2023-05-14 16:09:43.346248] 46 bytes from 3.129.108.199: icmp_seq=33 ttl=45 time=43.4 ms
[2023-05-14 16:09:43.542505] 46 bytes from 3.129.108.199: icmp_seq=34 ttl=45 time=38.6 ms
[2023-05-14 16:09:43.742183] 46 bytes from 3.129.108.199: icmp_seq=35 ttl=45 time=38.1 ms
[2023-05-14 16:09:43.956778] 46 bytes from 3.129.108.199: icmp_seq=36 ttl=45 time=51.8 ms
[2023-05-14 16:09:44.146702] 46 bytes from 3.129.108.199: icmp_seq=37 ttl=45 time=41.2 ms
[2023-05-14 16:09:44.351202] 46 bytes from 3.129.108.199: icmp_seq=38 ttl=45 time=44.8 ms
[2023-05-14 16:09:44.546728] 46 bytes from 3.129.108.199: icmp_seq=39 ttl=45 time=39.9 ms
[2023-05-14 16:09:44.756187] 46 bytes from 3.129.108.199: icmp_seq=40 ttl=45 time=48.8 ms
[2023-05-14 16:09:44.951122] 46 bytes from 3.129.108.199: icmp_seq=41 ttl=45 time=43.3 ms
[2023-05-14 16:09:45.146434] 46 bytes from 3.129.108.199: icmp_seq=42 ttl=45 time=37.5 ms
[2023-05-14 16:09:45.346532] 46 bytes from 3.129.108.199: icmp_seq=43 ttl=45 time=37.5 ms
[2023-05-14 16:09:45.556217] 46 bytes from 3.129.108.199: icmp_seq=44 ttl=45 time=46.0 ms
[2023-05-14 16:09:45.751390] 46 bytes from 3.129.108.199: icmp_seq=45 ttl=45 time=40.4 ms
[2023-05-14 16:09:45.956261] 46 bytes from 3.129.108.199: icmp_seq=46 ttl=45 time=44.3 ms
[2023-05-14 16:09:46.156033] 46 bytes from 3.129.108.199: icmp_seq=47 ttl=45 time=43.2 ms
[2023-05-14 16:09:46.351143] 46 bytes from 3.129.108.199: icmp_seq=48 ttl=45 time=37.6 ms
[2023-05-14 16:09:46.556236] 46 bytes from 3.129.108.199: icmp_seq=49 ttl=45 time=41.4 ms
[2023-05-14 16:09:46.761081] 46 bytes from 3.129.108.199: icmp_seq=50 ttl=45 time=45.2 ms
[2023-05-14 16:09:46.962360] 46 bytes from 3.129.108.199: icmp_seq=51 ttl=45 time=45.6 ms
[2023-05-14 16:09:47.161181] 46 bytes from 3.129.108.199: icmp_seq=52 ttl=45 time=43.2 ms
[2023-05-14 16:09:47.361173] 46 bytes from 3.129.108.199: icmp_seq=53 ttl=45 time=42.4 ms
[2023-05-14 16:09:47.561298] 46 bytes from 3.129.108.199: icmp_seq=54 ttl=45 time=41.5 ms
[2023-05-14 16:09:47.761236] 46 bytes from 3.129.108.199: icmp_seq=55 ttl=45 time=40.4 ms
[2023-05-14 16:09:47.971388] 46 bytes from 3.129.108.199: icmp_seq=56 ttl=45 time=49.4 ms
[2023-05-14 16:09:48.166085] 46 bytes from 3.129.108.199: icmp_seq=57 ttl=45 time=43.1 ms
[2023-05-14 16:09:48.366092] 46 bytes from 3.129.108.199: icmp_seq=58 ttl=45 time=42.5 ms
[2023-05-14 16:09:48.566603] 46 bytes from 3.129.108.199: icmp_seq=59 ttl=45 time=41.9 ms
[2023-05-14 16:09:48.766042] 46 bytes from 3.129.108.199: icmp_seq=60 ttl=45 time=40.8 ms
[2023-05-14 16:09:48.966271] 46 bytes from 3.129.108.199: icmp_seq=61 ttl=45 time=40.5 ms
[2023-05-14 16:09:49.166666] 46 bytes from 3.129.108.199: icmp_seq=62 ttl=45 time=39.8 ms
[2023-05-14 16:09:49.371086] 46 bytes from 3.129.108.199: icmp_seq=63 ttl=45 time=43.9 ms
[2023-05-14 16:09:49.566087] 46 bytes from 3.129.108.199: icmp_seq=64 ttl=45 time=38.4 ms
