Start time: 1684261645615
[2023-05-16 13:27:25.738100] PING 3.129.108.199 (3.129.108.199) 38(66) bytes of data.
[2023-05-16 13:27:25.738506] 46 bytes from 3.129.108.199: icmp_seq=1 ttl=47 time=52.2 ms
[2023-05-16 13:27:25.924401] 46 bytes from 3.129.108.199: icmp_seq=2 ttl=47 time=50.8 ms
[2023-05-16 13:27:26.122639] 46 bytes from 3.129.108.199: icmp_seq=3 ttl=47 time=48.5 ms
[2023-05-16 13:27:26.322776] 46 bytes from 3.129.108.199: icmp_seq=4 ttl=47 time=47.4 ms
[2023-05-16 13:27:26.531311] 46 bytes from 3.129.108.199: icmp_seq=5 ttl=47 time=54.6 ms
[2023-05-16 13:27:26.722844] 46 bytes from 3.129.108.199: icmp_seq=6 ttl=47 time=45.8 ms
[2023-05-16 13:27:26.923036] 46 bytes from 3.129.108.199: icmp_seq=7 ttl=47 time=45.4 ms
[2023-05-16 13:27:27.289305] 46 bytes from 3.129.108.199: icmp_seq=8 ttl=47 time=210 ms
[2023-05-16 13:27:27.330944] 46 bytes from 3.129.108.199: icmp_seq=9 ttl=47 time=43.5 ms
[2023-05-16 13:27:27.544490] 46 bytes from 3.129.108.199: icmp_seq=10 ttl=47 time=55.8 ms
[2023-05-16 13:27:27.745549] 46 bytes from 3.129.108.199: icmp_seq=11 ttl=47 time=56.3 ms
[2023-05-16 13:27:27.951649] 46 bytes from 3.129.108.199: icmp_seq=12 ttl=47 time=61.3 ms
[2023-05-16 13:27:28.142701] 46 bytes from 3.129.108.199: icmp_seq=13 ttl=47 time=51.3 ms
[2023-05-16 13:27:28.351323] 46 bytes from 3.129.108.199: icmp_seq=14 ttl=47 time=58.8 ms
[2023-05-16 13:27:28.544641] 46 bytes from 3.129.108.199: icmp_seq=15 ttl=47 time=51.6 ms
[2023-05-16 13:27:28.744487] 46 bytes from 3.129.108.199: icmp_seq=16 ttl=47 time=51.1 ms
[2023-05-16 13:27:28.945130] 46 bytes from 3.129.108.199: icmp_seq=17 ttl=47 time=50.9 ms
[2023-05-16 13:27:29.144441] 46 bytes from 3.129.108.199: icmp_seq=18 ttl=47 time=49.6 ms
[2023-05-16 13:27:29.345475] 46 bytes from 3.129.108.199: icmp_seq=19 ttl=47 time=50.4 ms
[2023-05-16 13:27:29.542458] 46 bytes from 3.129.108.199: icmp_seq=20 ttl=47 time=46.4 ms
[2023-05-16 13:27:29.747008] 46 bytes from 3.129.108.199: icmp_seq=21 ttl=47 time=49.9 ms
