Start time: 1684256203170
[2023-05-16 11:56:43.296491] PING 3.129.108.199 (3.129.108.199) 38(66) bytes of data.
[2023-05-16 11:56:43.296936] 46 bytes from 3.129.108.199: icmp_seq=1 ttl=46 time=87.8 ms
[2023-05-16 11:56:43.492193] 46 bytes from 3.129.108.199: icmp_seq=2 ttl=46 time=83.0 ms
[2023-05-16 11:56:43.700029] 46 bytes from 3.129.108.199: icmp_seq=3 ttl=46 time=90.4 ms
[2023-05-16 11:56:43.898065] 46 bytes from 3.129.108.199: icmp_seq=4 ttl=46 time=87.4 ms
[2023-05-16 11:56:44.178052] 46 bytes from 3.129.108.199: icmp_seq=5 ttl=46 time=166 ms
[2023-05-16 11:56:44.281281] 46 bytes from 3.129.108.199: icmp_seq=6 ttl=46 time=68.5 ms
[2023-05-16 11:56:44.600534] 46 bytes from 3.129.108.199: icmp_seq=7 ttl=46 time=187 ms
[2023-05-16 11:56:44.685756] 46 bytes from 3.129.108.199: icmp_seq=8 ttl=46 time=71.5 ms
[2023-05-16 11:56:44.876554] 46 bytes from 3.129.108.199: icmp_seq=9 ttl=46 time=62.2 ms
[2023-05-16 11:56:45.082153] 46 bytes from 3.129.108.199: icmp_seq=10 ttl=46 time=66.9 ms
[2023-05-16 11:56:45.284874] 46 bytes from 3.129.108.199: icmp_seq=11 ttl=46 time=69.0 ms
[2023-05-16 11:56:45.488242] 46 bytes from 3.129.108.199: icmp_seq=12 ttl=46 time=71.7 ms
[2023-05-16 11:56:45.706966] 46 bytes from 3.129.108.199: icmp_seq=13 ttl=46 time=89.8 ms
[2023-05-16 11:56:45.906645] 46 bytes from 3.129.108.199: icmp_seq=14 ttl=46 time=89.0 ms
[2023-05-16 11:56:46.117540] 46 bytes from 3.129.108.199: icmp_seq=15 ttl=46 time=99.4 ms
[2023-05-16 11:56:46.288386] 46 bytes from 3.129.108.199: icmp_seq=16 ttl=46 time=69.1 ms
[2023-05-16 11:56:46.559952] 46 bytes from 3.129.108.199: icmp_seq=17 ttl=46 time=139 ms
[2023-05-16 11:56:46.687180] 46 bytes from 3.129.108.199: icmp_seq=18 ttl=46 time=66.7 ms
[2023-05-16 11:56:47.166529] 46 bytes from 3.129.108.199: icmp_seq=19 ttl=46 time=345 ms
[2023-05-16 11:56:47.166806] 46 bytes from 3.129.108.199: icmp_seq=20 ttl=46 time=136 ms
[2023-05-16 11:56:47.317222] 46 bytes from 3.129.108.199: icmp_seq=21 ttl=46 time=87.0 ms
[2023-05-16 11:56:47.497792] 46 bytes from 3.129.108.199: icmp_seq=22 ttl=46 time=66.8 ms
[2023-05-16 11:56:47.849157] 46 bytes from 3.129.108.199: icmp_seq=23 ttl=46 time=217 ms
[2023-05-16 11:56:47.920151] 46 bytes from 3.129.108.199: icmp_seq=24 ttl=46 time=82.3 ms
[2023-05-16 11:56:48.119368] 46 bytes from 3.129.108.199: icmp_seq=25 ttl=46 time=80.6 ms
[2023-05-16 11:56:48.324479] 46 bytes from 3.129.108.199: icmp_seq=26 ttl=46 time=84.5 ms
[2023-05-16 11:56:48.530571] 46 bytes from 3.129.108.199: icmp_seq=27 ttl=46 time=89.4 ms
[2023-05-16 11:56:48.708262] 46 bytes from 3.129.108.199: icmp_seq=28 ttl=46 time=66.0 ms
[2023-05-16 11:56:48.928873] 46 bytes from 3.129.108.199: icmp_seq=29 ttl=46 time=86.0 ms
[2023-05-16 11:56:49.130650] 46 bytes from 3.129.108.199: icmp_seq=30 ttl=46 time=87.0 ms
[2023-05-16 11:56:49.325485] 46 bytes from 3.129.108.199: icmp_seq=31 ttl=46 time=81.1 ms
[2023-05-16 11:56:49.514704] 46 bytes from 3.129.108.199: icmp_seq=32 ttl=46 time=69.6 ms
[2023-05-16 11:56:49.732563] 46 bytes from 3.129.108.199: icmp_seq=33 ttl=46 time=87.3 ms
[2023-05-16 11:56:50.085846] 46 bytes from 3.129.108.199: icmp_seq=34 ttl=46 time=239 ms
[2023-05-16 11:56:50.116727] 46 bytes from 3.129.108.199: icmp_seq=35 ttl=46 time=62.9 ms
[2023-05-16 11:56:50.327822] 46 bytes from 3.129.108.199: icmp_seq=36 ttl=46 time=73.5 ms
[2023-05-16 11:56:50.518001] 46 bytes from 3.129.108.199: icmp_seq=37 ttl=46 time=62.7 ms
[2023-05-16 11:56:50.734261] 46 bytes from 3.129.108.199: icmp_seq=38 ttl=46 time=77.6 ms
[2023-05-16 11:56:50.942625] 46 bytes from 3.129.108.199: icmp_seq=39 ttl=46 time=85.8 ms
[2023-05-16 11:56:51.132516] 46 bytes from 3.129.108.199: icmp_seq=40 ttl=46 time=75.3 ms
[2023-05-16 11:56:51.342739] 46 bytes from 3.129.108.199: icmp_seq=41 ttl=46 time=84.7 ms
[2023-05-16 11:56:51.681111] 46 bytes from 3.129.108.199: icmp_seq=42 ttl=46 time=222 ms
[2023-05-16 11:56:51.728966] 46 bytes from 3.129.108.199: icmp_seq=43 ttl=46 time=63.2 ms
[2023-05-16 11:56:52.015064] 46 bytes from 3.129.108.199: icmp_seq=44 ttl=46 time=148 ms
[2023-05-16 11:56:52.143645] 46 bytes from 3.129.108.199: icmp_seq=45 ttl=46 time=77.0 ms
[2023-05-16 11:56:52.320792] 46 bytes from 3.129.108.199: icmp_seq=46 ttl=46 time=53.4 ms
[2023-05-16 11:56:52.553897] 46 bytes from 3.129.108.199: icmp_seq=47 ttl=46 time=85.3 ms
