Start time: 1684261135323
[2023-05-16 13:18:55.447575] PING 3.129.108.199 (3.129.108.199) 38(66) bytes of data.
[2023-05-16 13:18:55.448362] 46 bytes from 3.129.108.199: icmp_seq=1 ttl=44 time=70.3 ms
[2023-05-16 13:18:55.637628] 46 bytes from 3.129.108.199: icmp_seq=2 ttl=44 time=59.4 ms
[2023-05-16 13:18:55.845602] 46 bytes from 3.129.108.199: icmp_seq=3 ttl=44 time=66.4 ms
[2023-05-16 13:18:56.038591] 46 bytes from 3.129.108.199: icmp_seq=4 ttl=44 time=58.4 ms
[2023-05-16 13:18:56.238732] 46 bytes from 3.129.108.199: icmp_seq=5 ttl=44 time=58.5 ms
[2023-05-16 13:18:56.446476] 46 bytes from 3.129.108.199: icmp_seq=6 ttl=44 time=65.3 ms
[2023-05-16 13:18:56.637593] 46 bytes from 3.129.108.199: icmp_seq=7 ttl=44 time=55.6 ms
[2023-05-16 13:18:56.830722] 46 bytes from 3.129.108.199: icmp_seq=8 ttl=44 time=47.4 ms
[2023-05-16 13:18:57.052880] 46 bytes from 3.129.108.199: icmp_seq=9 ttl=44 time=68.4 ms
[2023-05-16 13:18:57.240981] 46 bytes from 3.129.108.199: icmp_seq=10 ttl=44 time=56.5 ms
[2023-05-16 13:18:57.440755] 46 bytes from 3.129.108.199: icmp_seq=11 ttl=44 time=55.1 ms
[2023-05-16 13:18:57.639492] 46 bytes from 3.129.108.199: icmp_seq=12 ttl=44 time=53.1 ms
[2023-05-16 13:18:57.849375] 46 bytes from 3.129.108.199: icmp_seq=13 ttl=44 time=62.4 ms
[2023-05-16 13:18:58.063036] 46 bytes from 3.129.108.199: icmp_seq=14 ttl=44 time=75.0 ms
[2023-05-16 13:18:58.240786] 46 bytes from 3.129.108.199: icmp_seq=15 ttl=44 time=53.1 ms
[2023-05-16 13:18:58.440754] 46 bytes from 3.129.108.199: icmp_seq=16 ttl=44 time=52.3 ms
[2023-05-16 13:18:58.639901] 46 bytes from 3.129.108.199: icmp_seq=17 ttl=44 time=50.3 ms
[2023-05-16 13:18:58.840995] 46 bytes from 3.129.108.199: icmp_seq=18 ttl=44 time=50.5 ms
[2023-05-16 13:18:59.056373] 46 bytes from 3.129.108.199: icmp_seq=19 ttl=44 time=64.9 ms
[2023-05-16 13:18:59.250357] 46 bytes from 3.129.108.199: icmp_seq=20 ttl=44 time=59.5 ms
[2023-05-16 13:18:59.457389] 46 bytes from 3.129.108.199: icmp_seq=21 ttl=44 time=65.4 ms
[2023-05-16 13:18:59.651298] 46 bytes from 3.129.108.199: icmp_seq=22 ttl=44 time=58.2 ms
[2023-05-16 13:18:59.844438] 46 bytes from 3.129.108.199: icmp_seq=23 ttl=44 time=50.5 ms
[2023-05-16 13:19:00.046581] 46 bytes from 3.129.108.199: icmp_seq=24 ttl=44 time=51.6 ms
[2023-05-16 13:19:00.254534] 46 bytes from 3.129.108.199: icmp_seq=25 ttl=44 time=59.3 ms
[2023-05-16 13:19:00.459476] 46 bytes from 3.129.108.199: icmp_seq=26 ttl=44 time=63.5 ms
[2023-05-16 13:19:00.658632] 46 bytes from 3.129.108.199: icmp_seq=27 ttl=44 time=61.7 ms
[2023-05-16 13:19:00.857660] 46 bytes from 3.129.108.199: icmp_seq=28 ttl=44 time=59.3 ms
[2023-05-16 13:19:01.066925] 46 bytes from 3.129.108.199: icmp_seq=29 ttl=44 time=67.6 ms
[2023-05-16 13:19:01.261565] 46 bytes from 3.129.108.199: icmp_seq=30 ttl=44 time=61.8 ms
[2023-05-16 13:19:01.465676] 46 bytes from 3.129.108.199: icmp_seq=31 ttl=44 time=65.4 ms
[2023-05-16 13:19:01.660276] 46 bytes from 3.129.108.199: icmp_seq=32 ttl=44 time=59.1 ms
[2023-05-16 13:19:01.858465] 46 bytes from 3.129.108.199: icmp_seq=33 ttl=44 time=56.7 ms
[2023-05-16 13:19:02.056410] 46 bytes from 3.129.108.199: icmp_seq=34 ttl=44 time=54.4 ms
[2023-05-16 13:19:02.254571] 46 bytes from 3.129.108.199: icmp_seq=35 ttl=44 time=51.4 ms
[2023-05-16 13:19:02.466144] 46 bytes from 3.129.108.199: icmp_seq=36 ttl=44 time=61.9 ms
[2023-05-16 13:19:02.660473] 46 bytes from 3.129.108.199: icmp_seq=37 ttl=44 time=55.8 ms
[2023-05-16 13:19:02.850588] 46 bytes from 3.129.108.199: icmp_seq=38 ttl=44 time=45.4 ms
[2023-05-16 13:19:03.060418] 46 bytes from 3.129.108.199: icmp_seq=39 ttl=44 time=54.2 ms
[2023-05-16 13:19:03.268438] 46 bytes from 3.129.108.199: icmp_seq=40 ttl=44 time=61.6 ms
[2023-05-16 13:19:03.467315] 46 bytes from 3.129.108.199: icmp_seq=41 ttl=44 time=59.2 ms
[2023-05-16 13:19:03.668949] 46 bytes from 3.129.108.199: icmp_seq=42 ttl=44 time=59.8 ms
[2023-05-16 13:19:03.866772] 46 bytes from 3.129.108.199: icmp_seq=43 ttl=44 time=57.1 ms
[2023-05-16 13:19:04.073719] 46 bytes from 3.129.108.199: icmp_seq=44 ttl=44 time=63.3 ms
[2023-05-16 13:19:04.272687] 46 bytes from 3.129.108.199: icmp_seq=45 ttl=44 time=61.3 ms
[2023-05-16 13:19:04.459464] 46 bytes from 3.129.108.199: icmp_seq=46 ttl=44 time=47.2 ms
[2023-05-16 13:19:04.659412] 46 bytes from 3.129.108.199: icmp_seq=47 ttl=44 time=46.4 ms
[2023-05-16 13:19:04.859662] 46 bytes from 3.129.108.199: icmp_seq=48 ttl=44 time=45.5 ms
[2023-05-16 13:19:05.061804] 46 bytes from 3.129.108.199: icmp_seq=49 ttl=44 time=46.3 ms
[2023-05-16 13:19:05.272701] 46 bytes from 3.129.108.199: icmp_seq=50 ttl=44 time=56.2 ms
[2023-05-16 13:19:05.481212] 46 bytes from 3.129.108.199: icmp_seq=51 ttl=44 time=63.8 ms
[2023-05-16 13:19:05.680628] 46 bytes from 3.129.108.199: icmp_seq=52 ttl=44 time=61.7 ms
[2023-05-16 13:19:05.874509] 46 bytes from 3.129.108.199: icmp_seq=53 ttl=44 time=56.5 ms
[2023-05-16 13:19:06.081449] 46 bytes from 3.129.108.199: icmp_seq=54 ttl=44 time=62.4 ms
[2023-05-16 13:19:06.269581] 46 bytes from 3.129.108.199: icmp_seq=55 ttl=44 time=49.5 ms
[2023-05-16 13:19:06.477527] 46 bytes from 3.129.108.199: icmp_seq=56 ttl=44 time=56.1 ms
[2023-05-16 13:19:06.681455] 46 bytes from 3.129.108.199: icmp_seq=57 ttl=44 time=59.4 ms
[2023-05-16 13:19:06.869546] 46 bytes from 3.129.108.199: icmp_seq=58 ttl=44 time=46.5 ms
[2023-05-16 13:19:07.080334] 46 bytes from 3.129.108.199: icmp_seq=59 ttl=44 time=55.3 ms
[2023-05-16 13:19:07.270439] 46 bytes from 3.129.108.199: icmp_seq=60 ttl=44 time=45.7 ms
[2023-05-16 13:19:07.478902] 46 bytes from 3.129.108.199: icmp_seq=61 ttl=44 time=54.0 ms
[2023-05-16 13:19:07.680157] 46 bytes from 3.129.108.199: icmp_seq=62 ttl=44 time=54.4 ms
[2023-05-16 13:19:07.879579] 46 bytes from 3.129.108.199: icmp_seq=63 ttl=44 time=53.8 ms
[2023-05-16 13:19:08.080342] 46 bytes from 3.129.108.199: icmp_seq=64 ttl=44 time=54.0 ms
[2023-05-16 13:19:08.280749] 46 bytes from 3.129.108.199: icmp_seq=65 ttl=44 time=53.8 ms
[2023-05-16 13:19:08.482794] 46 bytes from 3.129.108.199: icmp_seq=66 ttl=44 time=55.4 ms
[2023-05-16 13:19:08.680499] 46 bytes from 3.129.108.199: icmp_seq=67 ttl=44 time=52.2 ms
[2023-05-16 13:19:08.882439] 46 bytes from 3.129.108.199: icmp_seq=68 ttl=44 time=53.4 ms
[2023-05-16 13:19:09.088568] 46 bytes from 3.129.108.199: icmp_seq=69 ttl=44 time=58.5 ms
[2023-05-16 13:19:09.282812] 46 bytes from 3.129.108.199: icmp_seq=70 ttl=44 time=51.5 ms
[2023-05-16 13:19:09.486802] 46 bytes from 3.129.108.199: icmp_seq=71 ttl=44 time=55.3 ms
[2023-05-16 13:19:09.687652] 46 bytes from 3.129.108.199: icmp_seq=72 ttl=44 time=55.3 ms
[2023-05-16 13:19:09.887471] 46 bytes from 3.129.108.199: icmp_seq=73 ttl=44 time=54.2 ms
[2023-05-16 13:19:10.084392] 46 bytes from 3.129.108.199: icmp_seq=74 ttl=44 time=50.4 ms
[2023-05-16 13:19:10.287422] 46 bytes from 3.129.108.199: icmp_seq=75 ttl=44 time=52.5 ms
[2023-05-16 13:19:10.480265] 46 bytes from 3.129.108.199: icmp_seq=76 ttl=44 time=44.1 ms
[2023-05-16 13:19:10.689588] 46 bytes from 3.129.108.199: icmp_seq=77 ttl=44 time=52.7 ms
[2023-05-16 13:19:10.893746] 46 bytes from 3.129.108.199: icmp_seq=78 ttl=44 time=56.5 ms
[2023-05-16 13:19:11.094050] 46 bytes from 3.129.108.199: icmp_seq=79 ttl=44 time=55.7 ms
[2023-05-16 13:19:11.291259] 46 bytes from 3.129.108.199: icmp_seq=80 ttl=44 time=52.5 ms
[2023-05-16 13:19:11.498447] 46 bytes from 3.129.108.199: icmp_seq=81 ttl=44 time=58.7 ms
[2023-05-16 13:19:11.696590] 46 bytes from 3.129.108.199: icmp_seq=82 ttl=44 time=56.5 ms
[2023-05-16 13:19:11.890564] 46 bytes from 3.129.108.199: icmp_seq=83 ttl=44 time=49.3 ms
[2023-05-16 13:19:12.089937] 46 bytes from 3.129.108.199: icmp_seq=84 ttl=44 time=47.7 ms
[2023-05-16 13:19:12.292510] 46 bytes from 3.129.108.199: icmp_seq=85 ttl=44 time=49.9 ms
[2023-05-16 13:19:12.492657] 46 bytes from 3.129.108.199: icmp_seq=86 ttl=44 time=49.5 ms
[2023-05-16 13:19:12.700461] 46 bytes from 3.129.108.199: icmp_seq=87 ttl=44 time=56.3 ms
[2023-05-16 13:19:12.891499] 46 bytes from 3.129.108.199: icmp_seq=88 ttl=44 time=46.5 ms
[2023-05-16 13:19:13.091042] 46 bytes from 3.129.108.199: icmp_seq=89 ttl=44 time=44.9 ms
[2023-05-16 13:19:13.307920] 46 bytes from 3.129.108.199: icmp_seq=90 ttl=44 time=61.1 ms
[2023-05-16 13:19:13.510650] 46 bytes from 3.129.108.199: icmp_seq=91 ttl=44 time=63.1 ms
[2023-05-16 13:19:13.717352] 46 bytes from 3.129.108.199: icmp_seq=92 ttl=44 time=69.1 ms
[2023-05-16 13:19:13.908993] 46 bytes from 3.129.108.199: icmp_seq=93 ttl=44 time=59.9 ms
[2023-05-16 13:19:14.116600] 46 bytes from 3.129.108.199: icmp_seq=94 ttl=44 time=66.9 ms
[2023-05-16 13:19:14.299484] 46 bytes from 3.129.108.199: icmp_seq=95 ttl=44 time=49.4 ms
[2023-05-16 13:19:14.522890] 46 bytes from 3.129.108.199: icmp_seq=96 ttl=44 time=71.5 ms
[2023-05-16 13:19:14.701867] 46 bytes from 3.129.108.199: icmp_seq=97 ttl=44 time=50.4 ms
[2023-05-16 13:19:14.899560] 46 bytes from 3.129.108.199: icmp_seq=98 ttl=44 time=47.1 ms
[2023-05-16 13:19:15.107397] 46 bytes from 3.129.108.199: icmp_seq=99 ttl=44 time=54.1 ms
[2023-05-16 13:19:15.300852] 46 bytes from 3.129.108.199: icmp_seq=100 ttl=44 time=46.8 ms
[2023-05-16 13:19:15.501487] 46 bytes from 3.129.108.199: icmp_seq=101 ttl=44 time=47.2 ms
[2023-05-16 13:19:15.699384] 46 bytes from 3.129.108.199: icmp_seq=102 ttl=44 time=44.4 ms
[2023-05-16 13:19:15.909652] 46 bytes from 3.129.108.199: icmp_seq=103 ttl=44 time=53.5 ms
[2023-05-16 13:19:16.111734] 46 bytes from 3.129.108.199: icmp_seq=104 ttl=44 time=54.4 ms
[2023-05-16 13:19:16.310661] 46 bytes from 3.129.108.199: icmp_seq=105 ttl=44 time=52.3 ms
[2023-05-16 13:19:16.510729] 46 bytes from 3.129.108.199: icmp_seq=106 ttl=44 time=51.4 ms
[2023-05-16 13:19:16.717741] 46 bytes from 3.129.108.199: icmp_seq=107 ttl=44 time=57.4 ms
[2023-05-16 13:19:16.922332] 46 bytes from 3.129.108.199: icmp_seq=108 ttl=44 time=61.0 ms
[2023-05-16 13:19:17.110468] 46 bytes from 3.129.108.199: icmp_seq=109 ttl=44 time=48.6 ms
[2023-05-16 13:19:17.309582] 46 bytes from 3.129.108.199: icmp_seq=110 ttl=44 time=46.5 ms
[2023-05-16 13:19:17.509628] 46 bytes from 3.129.108.199: icmp_seq=111 ttl=44 time=45.4 ms
[2023-05-16 13:19:17.710669] 46 bytes from 3.129.108.199: icmp_seq=112 ttl=44 time=45.4 ms
[2023-05-16 13:19:17.910597] 46 bytes from 3.129.108.199: icmp_seq=113 ttl=44 time=44.3 ms
[2023-05-16 13:19:18.119960] 46 bytes from 3.129.108.199: icmp_seq=114 ttl=44 time=52.5 ms
[2023-05-16 13:19:18.320869] 46 bytes from 3.129.108.199: icmp_seq=115 ttl=44 time=52.6 ms
[2023-05-16 13:19:18.521051] 46 bytes from 3.129.108.199: icmp_seq=116 ttl=44 time=51.5 ms
[2023-05-16 13:19:18.728657] 46 bytes from 3.129.108.199: icmp_seq=117 ttl=44 time=58.0 ms
[2023-05-16 13:19:18.920665] 46 bytes from 3.129.108.199: icmp_seq=118 ttl=44 time=49.4 ms
[2023-05-16 13:19:19.130776] 46 bytes from 3.129.108.199: icmp_seq=119 ttl=44 time=58.4 ms
[2023-05-16 13:19:19.329873] 46 bytes from 3.129.108.199: icmp_seq=120 ttl=44 time=56.5 ms
[2023-05-16 13:19:19.521590] 46 bytes from 3.129.108.199: icmp_seq=121 ttl=44 time=47.1 ms
[2023-05-16 13:19:19.737899] 46 bytes from 3.129.108.199: icmp_seq=122 ttl=44 time=62.6 ms
[2023-05-16 13:19:19.922762] 46 bytes from 3.129.108.199: icmp_seq=123 ttl=44 time=46.9 ms
[2023-05-16 13:19:20.129527] 46 bytes from 3.129.108.199: icmp_seq=124 ttl=44 time=53.2 ms
[2023-05-16 13:19:20.337758] 46 bytes from 3.129.108.199: icmp_seq=125 ttl=44 time=60.6 ms
[2023-05-16 13:19:20.529553] 46 bytes from 3.129.108.199: icmp_seq=126 ttl=44 time=51.2 ms
[2023-05-16 13:19:20.729477] 46 bytes from 3.129.108.199: icmp_seq=127 ttl=44 time=50.3 ms
[2023-05-16 13:19:20.930348] 46 bytes from 3.129.108.199: icmp_seq=128 ttl=44 time=50.3 ms
[2023-05-16 13:19:21.130316] 46 bytes from 3.129.108.199: icmp_seq=129 ttl=44 time=49.5 ms
[2023-05-16 13:19:21.338677] 46 bytes from 3.129.108.199: icmp_seq=130 ttl=44 time=56.7 ms
[2023-05-16 13:19:21.529528] 46 bytes from 3.129.108.199: icmp_seq=131 ttl=44 time=47.2 ms
[2023-05-16 13:19:21.737724] 46 bytes from 3.129.108.199: icmp_seq=132 ttl=44 time=54.5 ms
[2023-05-16 13:19:21.930496] 46 bytes from 3.129.108.199: icmp_seq=133 ttl=44 time=46.2 ms
[2023-05-16 13:19:22.131570] 46 bytes from 3.129.108.199: icmp_seq=134 ttl=44 time=46.4 ms
[2023-05-16 13:19:22.329336] 46 bytes from 3.129.108.199: icmp_seq=135 ttl=44 time=43.3 ms
[2023-05-16 13:19:22.539397] 46 bytes from 3.129.108.199: icmp_seq=136 ttl=44 time=52.5 ms
[2023-05-16 13:19:22.740885] 46 bytes from 3.129.108.199: icmp_seq=137 ttl=44 time=52.9 ms
[2023-05-16 13:19:22.939702] 46 bytes from 3.129.108.199: icmp_seq=138 ttl=44 time=51.2 ms
[2023-05-16 13:19:23.141648] 46 bytes from 3.129.108.199: icmp_seq=139 ttl=44 time=52.3 ms
[2023-05-16 13:19:23.347512] 46 bytes from 3.129.108.199: icmp_seq=140 ttl=44 time=57.2 ms
[2023-05-16 13:19:23.541056] 46 bytes from 3.129.108.199: icmp_seq=141 ttl=44 time=49.9 ms
[2023-05-16 13:19:23.741522] 46 bytes from 3.129.108.199: icmp_seq=142 ttl=44 time=49.9 ms
[2023-05-16 13:19:23.941355] 46 bytes from 3.129.108.199: icmp_seq=143 ttl=44 time=49.3 ms
[2023-05-16 13:19:24.150047] 46 bytes from 3.129.108.199: icmp_seq=144 ttl=44 time=56.7 ms
[2023-05-16 13:19:24.347448] 46 bytes from 3.129.108.199: icmp_seq=145 ttl=44 time=53.8 ms
[2023-05-16 13:19:24.539611] 46 bytes from 3.129.108.199: icmp_seq=146 ttl=44 time=45.5 ms
[2023-05-16 13:19:24.740649] 46 bytes from 3.129.108.199: icmp_seq=147 ttl=44 time=45.4 ms
[2023-05-16 13:19:24.939536] 46 bytes from 3.129.108.199: icmp_seq=148 ttl=44 time=43.3 ms
[2023-05-16 13:19:25.150984] 46 bytes from 3.129.108.199: icmp_seq=149 ttl=44 time=53.9 ms
[2023-05-16 13:19:25.349646] 46 bytes from 3.129.108.199: icmp_seq=150 ttl=44 time=52.2 ms
[2023-05-16 13:19:25.377110] 
[2023-05-16 13:19:25.377530] --- 3.129.108.199 ping statistics ---
[2023-05-16 13:19:25.377687] 150 packets transmitted, 150 received, 0% packet loss, time 29920ms
[2023-05-16 13:19:25.377795] rtt min/avg/max/mdev = 43.317/54.567/75.039/6.497 ms
End time: 1684261165402
