Start time: 1691253090455
[2023-08-05 12:31:30.552900] PING 54.197.223.49 (54.197.223.49) 38(66) bytes of data.
[2023-08-05 12:31:30.553375] 46 bytes from 54.197.223.49: icmp_seq=1 ttl=51 time=60.4 ms
[2023-08-05 12:31:30.757369] 46 bytes from 54.197.223.49: icmp_seq=2 ttl=51 time=68.9 ms
[2023-08-05 12:31:30.962333] 46 bytes from 54.197.223.49: icmp_seq=3 ttl=51 time=73.4 ms
[2023-08-05 12:31:31.142133] 46 bytes from 54.197.223.49: icmp_seq=4 ttl=51 time=52.2 ms
[2023-08-05 12:31:31.342947] 46 bytes from 54.197.223.49: icmp_seq=5 ttl=51 time=51.8 ms
[2023-08-05 12:31:31.537466] 46 bytes from 54.197.223.49: icmp_seq=6 ttl=51 time=46.0 ms
[2023-08-05 12:31:31.742140] 46 bytes from 54.197.223.49: icmp_seq=7 ttl=51 time=50.1 ms
[2023-08-05 12:31:31.947128] 46 bytes from 54.197.223.49: icmp_seq=8 ttl=51 time=54.3 ms
[2023-08-05 12:31:32.137241] 46 bytes from 54.197.223.49: icmp_seq=9 ttl=51 time=43.4 ms
[2023-08-05 12:31:32.342742] 46 bytes from 54.197.223.49: icmp_seq=10 ttl=51 time=47.7 ms
[2023-08-05 12:31:32.542318] 46 bytes from 54.197.223.49: icmp_seq=11 ttl=51 time=46.9 ms
[2023-08-05 12:31:32.742292] 46 bytes from 54.197.223.49: icmp_seq=12 ttl=51 time=46.2 ms
[2023-08-05 12:31:32.937179] 46 bytes from 54.197.223.49: icmp_seq=13 ttl=51 time=40.2 ms
[2023-08-05 12:31:33.162344] 46 bytes from 54.197.223.49: icmp_seq=14 ttl=51 time=64.5 ms
[2023-08-05 12:31:33.339584] 46 bytes from 54.197.223.49: icmp_seq=15 ttl=51 time=40.7 ms
[2023-08-05 12:31:33.558306] 46 bytes from 54.197.223.49: icmp_seq=16 ttl=51 time=59.0 ms
[2023-08-05 12:31:33.762718] 46 bytes from 54.197.223.49: icmp_seq=17 ttl=51 time=62.8 ms
[2023-08-05 12:31:33.957619] 46 bytes from 54.197.223.49: icmp_seq=18 ttl=51 time=57.2 ms
[2023-08-05 12:31:34.137160] 46 bytes from 54.197.223.49: icmp_seq=19 ttl=51 time=35.9 ms
[2023-08-05 12:31:34.357031] 46 bytes from 54.197.223.49: icmp_seq=20 ttl=51 time=55.1 ms
[2023-08-05 12:31:34.557716] 46 bytes from 54.197.223.49: icmp_seq=21 ttl=51 time=55.0 ms
[2023-08-05 12:31:34.757077] 46 bytes from 54.197.223.49: icmp_seq=22 ttl=51 time=53.7 ms
[2023-08-05 12:31:34.937738] 46 bytes from 54.197.223.49: icmp_seq=23 ttl=51 time=33.9 ms
[2023-08-05 12:31:35.157755] 46 bytes from 54.197.223.49: icmp_seq=24 ttl=51 time=53.4 ms
[2023-08-05 12:31:35.357499] 46 bytes from 54.197.223.49: icmp_seq=25 ttl=51 time=51.9 ms
[2023-08-05 12:31:35.557148] 46 bytes from 54.197.223.49: icmp_seq=26 ttl=51 time=51.0 ms
[2023-08-05 12:31:35.757909] 46 bytes from 54.197.223.49: icmp_seq=27 ttl=51 time=51.1 ms
[2023-08-05 12:31:35.957182] 46 bytes from 54.197.223.49: icmp_seq=28 ttl=51 time=49.6 ms
[2023-08-05 12:31:36.157753] 46 bytes from 54.197.223.49: icmp_seq=29 ttl=51 time=48.8 ms
[2023-08-05 12:31:36.357164] 46 bytes from 54.197.223.49: icmp_seq=30 ttl=51 time=47.9 ms
[2023-08-05 12:31:36.557335] 46 bytes from 54.197.223.49: icmp_seq=31 ttl=51 time=47.4 ms
[2023-08-05 12:31:36.757581] 46 bytes from 54.197.223.49: icmp_seq=32 ttl=51 time=46.7 ms
[2023-08-05 12:31:36.957183] 46 bytes from 54.197.223.49: icmp_seq=33 ttl=51 time=45.8 ms
[2023-08-05 12:31:37.157260] 46 bytes from 54.197.223.49: icmp_seq=34 ttl=51 time=45.4 ms
[2023-08-05 12:31:37.357299] 46 bytes from 54.197.223.49: icmp_seq=35 ttl=51 time=44.1 ms
[2023-08-05 12:31:37.557560] 46 bytes from 54.197.223.49: icmp_seq=36 ttl=51 time=43.8 ms
[2023-08-05 12:31:37.757091] 46 bytes from 54.197.223.49: icmp_seq=37 ttl=51 time=42.9 ms
[2023-08-05 12:31:37.957804] 46 bytes from 54.197.223.49: icmp_seq=38 ttl=51 time=43.0 ms
[2023-08-05 12:31:38.157736] 46 bytes from 54.197.223.49: icmp_seq=39 ttl=51 time=42.1 ms
[2023-08-05 12:31:38.354994] 46 bytes from 54.197.223.49: icmp_seq=40 ttl=51 time=38.5 ms
