Start time: 1691345957163
[2023-08-06 14:19:17.266632] PING 54.197.223.49 (54.197.223.49) 38(66) bytes of data.
[2023-08-06 14:19:17.267099] 46 bytes from 54.197.223.49: icmp_seq=1 ttl=48 time=69.0 ms
[2023-08-06 14:19:17.474588] 46 bytes from 54.197.223.49: icmp_seq=2 ttl=48 time=76.2 ms
[2023-08-06 14:19:17.639716] 46 bytes from 54.197.223.49: icmp_seq=3 ttl=48 time=40.5 ms
[2023-08-06 14:19:17.847918] 46 bytes from 54.197.223.49: icmp_seq=4 ttl=48 time=47.6 ms
[2023-08-06 14:19:18.042833] 46 bytes from 54.197.223.49: icmp_seq=5 ttl=48 time=41.2 ms
[2023-08-06 14:19:18.256939] 46 bytes from 54.197.223.49: icmp_seq=6 ttl=48 time=54.6 ms
[2023-08-06 14:19:18.455860] 46 bytes from 54.197.223.49: icmp_seq=7 ttl=48 time=52.2 ms
[2023-08-06 14:19:18.647819] 46 bytes from 54.197.223.49: icmp_seq=8 ttl=48 time=43.4 ms
[2023-08-06 14:19:18.857853] 46 bytes from 54.197.223.49: icmp_seq=9 ttl=48 time=52.3 ms
[2023-08-06 14:19:19.057863] 46 bytes from 54.197.223.49: icmp_seq=10 ttl=48 time=51.5 ms
[2023-08-06 14:19:19.249826] 46 bytes from 54.197.223.49: icmp_seq=11 ttl=48 time=42.1 ms
[2023-08-06 14:19:19.450036] 46 bytes from 54.197.223.49: icmp_seq=12 ttl=48 time=41.5 ms
[2023-08-06 14:19:19.660110] 46 bytes from 54.197.223.49: icmp_seq=13 ttl=48 time=50.3 ms
[2023-08-06 14:19:19.857874] 46 bytes from 54.197.223.49: icmp_seq=14 ttl=48 time=47.2 ms
[2023-08-06 14:19:20.049943] 46 bytes from 54.197.223.49: icmp_seq=15 ttl=48 time=38.3 ms
[2023-08-06 14:19:20.249932] 46 bytes from 54.197.223.49: icmp_seq=16 ttl=48 time=37.2 ms
[2023-08-06 14:19:20.457860] 46 bytes from 54.197.223.49: icmp_seq=17 ttl=48 time=44.1 ms
[2023-08-06 14:19:20.667774] 46 bytes from 54.197.223.49: icmp_seq=18 ttl=48 time=53.4 ms
[2023-08-06 14:19:20.859748] 46 bytes from 54.197.223.49: icmp_seq=19 ttl=48 time=44.3 ms
[2023-08-06 14:19:21.067902] 46 bytes from 54.197.223.49: icmp_seq=20 ttl=48 time=51.4 ms
[2023-08-06 14:19:21.275966] 46 bytes from 54.197.223.49: icmp_seq=21 ttl=48 time=58.2 ms
[2023-08-06 14:19:21.459862] 46 bytes from 54.197.223.49: icmp_seq=22 ttl=48 time=41.2 ms
[2023-08-06 14:19:21.659792] 46 bytes from 54.197.223.49: icmp_seq=23 ttl=48 time=40.2 ms
[2023-08-06 14:19:21.871770] 46 bytes from 54.197.223.49: icmp_seq=24 ttl=48 time=51.4 ms
[2023-08-06 14:19:22.067762] 46 bytes from 54.197.223.49: icmp_seq=25 ttl=48 time=46.3 ms
[2023-08-06 14:19:22.259737] 46 bytes from 54.197.223.49: icmp_seq=26 ttl=48 time=37.4 ms
[2023-08-06 14:19:22.459797] 46 bytes from 54.197.223.49: icmp_seq=27 ttl=48 time=36.2 ms
[2023-08-06 14:19:22.675773] 46 bytes from 54.197.223.49: icmp_seq=28 ttl=48 time=51.3 ms
[2023-08-06 14:19:22.885576] 46 bytes from 54.197.223.49: icmp_seq=29 ttl=48 time=60.2 ms
