Start time: 1691535931151
[2023-08-08 19:05:31.252527] PING 54.197.223.49 (54.197.223.49) 38(66) bytes of data.
[2023-08-08 19:05:31.252972] 46 bytes from 54.197.223.49: icmp_seq=1 ttl=49 time=53.6 ms
[2023-08-08 19:05:31.444372] 46 bytes from 54.197.223.49: icmp_seq=2 ttl=49 time=55.4 ms
[2023-08-08 19:05:31.650230] 46 bytes from 54.197.223.49: icmp_seq=3 ttl=49 time=60.1 ms
[2023-08-08 19:05:31.835397] 46 bytes from 54.197.223.49: icmp_seq=4 ttl=49 time=44.4 ms
[2023-08-08 19:05:32.034495] 46 bytes from 54.197.223.49: icmp_seq=5 ttl=49 time=42.4 ms
[2023-08-08 19:05:32.235325] 46 bytes from 54.197.223.49: icmp_seq=6 ttl=49 time=43.2 ms
[2023-08-08 19:05:32.434259] 46 bytes from 54.197.223.49: icmp_seq=7 ttl=49 time=41.2 ms
[2023-08-08 19:05:32.634388] 46 bytes from 54.197.223.49: icmp_seq=8 ttl=49 time=40.5 ms
[2023-08-08 19:05:32.846578] 46 bytes from 54.197.223.49: icmp_seq=9 ttl=49 time=51.3 ms
[2023-08-08 19:05:33.051366] 46 bytes from 54.197.223.49: icmp_seq=10 ttl=49 time=55.1 ms
[2023-08-08 19:05:33.247368] 46 bytes from 54.197.223.49: icmp_seq=11 ttl=49 time=51.3 ms
[2023-08-08 19:05:33.450488] 46 bytes from 54.197.223.49: icmp_seq=12 ttl=49 time=53.5 ms
[2023-08-08 19:05:33.649280] 46 bytes from 54.197.223.49: icmp_seq=13 ttl=49 time=51.3 ms
[2023-08-08 19:05:33.845282] 46 bytes from 54.197.223.49: icmp_seq=14 ttl=49 time=46.4 ms
[2023-08-08 19:05:34.045525] 46 bytes from 54.197.223.49: icmp_seq=15 ttl=49 time=45.6 ms
[2023-08-08 19:05:34.236552] 46 bytes from 54.197.223.49: icmp_seq=16 ttl=49 time=36.3 ms
[2023-08-08 19:05:34.454447] 46 bytes from 54.197.223.49: icmp_seq=17 ttl=49 time=53.2 ms
[2023-08-08 19:05:34.653342] 46 bytes from 54.197.223.49: icmp_seq=18 ttl=49 time=51.3 ms
[2023-08-08 19:05:34.844465] 46 bytes from 54.197.223.49: icmp_seq=19 ttl=49 time=41.4 ms
[2023-08-08 19:05:35.044288] 46 bytes from 54.197.223.49: icmp_seq=20 ttl=49 time=40.2 ms
[2023-08-08 19:05:35.259383] 46 bytes from 54.197.223.49: icmp_seq=21 ttl=49 time=54.3 ms
[2023-08-08 19:05:35.464441] 46 bytes from 54.197.223.49: icmp_seq=22 ttl=49 time=58.4 ms
[2023-08-08 19:05:35.659359] 46 bytes from 54.197.223.49: icmp_seq=23 ttl=49 time=52.2 ms
[2023-08-08 19:05:35.861241] 46 bytes from 54.197.223.49: icmp_seq=24 ttl=49 time=53.4 ms
[2023-08-08 19:05:36.055240] 46 bytes from 54.197.223.49: icmp_seq=25 ttl=49 time=46.3 ms
[2023-08-08 19:05:36.255580] 46 bytes from 54.197.223.49: icmp_seq=26 ttl=49 time=45.7 ms
[2023-08-08 19:05:36.455433] 46 bytes from 54.197.223.49: icmp_seq=27 ttl=49 time=45.1 ms
[2023-08-08 19:05:36.655360] 46 bytes from 54.197.223.49: icmp_seq=28 ttl=49 time=44.2 ms
[2023-08-08 19:05:36.854483] 46 bytes from 54.197.223.49: icmp_seq=29 ttl=49 time=42.4 ms
[2023-08-08 19:05:37.054342] 46 bytes from 54.197.223.49: icmp_seq=30 ttl=49 time=41.3 ms
[2023-08-08 19:05:37.256384] 46 bytes from 54.197.223.49: icmp_seq=31 ttl=49 time=42.3 ms
[2023-08-08 19:05:37.464150] 46 bytes from 54.197.223.49: icmp_seq=32 ttl=49 time=49.2 ms
[2023-08-08 19:05:37.664471] 46 bytes from 54.197.223.49: icmp_seq=33 ttl=49 time=48.6 ms
[2023-08-08 19:05:37.864304] 46 bytes from 54.197.223.49: icmp_seq=34 ttl=49 time=47.2 ms
[2023-08-08 19:05:38.064502] 46 bytes from 54.197.223.49: icmp_seq=35 ttl=49 time=46.5 ms
[2023-08-08 19:05:38.265692] 46 bytes from 54.197.223.49: icmp_seq=36 ttl=49 time=46.5 ms
[2023-08-08 19:05:38.465416] 46 bytes from 54.197.223.49: icmp_seq=37 ttl=49 time=45.0 ms
[2023-08-08 19:05:38.679294] 46 bytes from 54.197.223.49: icmp_seq=38 ttl=49 time=58.2 ms
[2023-08-08 19:05:38.864344] 46 bytes from 54.197.223.49: icmp_seq=39 ttl=49 time=42.4 ms
[2023-08-08 19:05:39.066466] 46 bytes from 54.197.223.49: icmp_seq=40 ttl=49 time=43.4 ms
[2023-08-08 19:05:39.265596] 46 bytes from 54.197.223.49: icmp_seq=41 ttl=49 time=41.4 ms
[2023-08-08 19:05:39.476424] 46 bytes from 54.197.223.49: icmp_seq=42 ttl=49 time=51.2 ms
[2023-08-08 19:05:39.673513] 46 bytes from 54.197.223.49: icmp_seq=43 ttl=49 time=47.4 ms
[2023-08-08 19:05:39.874282] 46 bytes from 54.197.223.49: icmp_seq=44 ttl=49 time=47.2 ms
[2023-08-08 19:05:40.091546] 46 bytes from 54.197.223.49: icmp_seq=45 ttl=49 time=63.5 ms
[2023-08-08 19:05:40.274479] 46 bytes from 54.197.223.49: icmp_seq=46 ttl=49 time=45.4 ms
[2023-08-08 19:05:40.474418] 46 bytes from 54.197.223.49: icmp_seq=47 ttl=49 time=44.2 ms
[2023-08-08 19:05:40.677474] 46 bytes from 54.197.223.49: icmp_seq=48 ttl=49 time=46.3 ms
[2023-08-08 19:05:40.874493] 46 bytes from 54.197.223.49: icmp_seq=49 ttl=49 time=42.3 ms
[2023-08-08 19:05:41.074370] 46 bytes from 54.197.223.49: icmp_seq=50 ttl=49 time=41.3 ms
[2023-08-08 19:05:41.283327] 46 bytes from 54.197.223.49: icmp_seq=51 ttl=49 time=49.1 ms
[2023-08-08 19:05:41.491303] 46 bytes from 54.197.223.49: icmp_seq=52 ttl=49 time=56.3 ms
[2023-08-08 19:05:41.683596] 46 bytes from 54.197.223.49: icmp_seq=53 ttl=49 time=47.5 ms
[2023-08-08 19:05:41.884453] 46 bytes from 54.197.223.49: icmp_seq=54 ttl=49 time=47.1 ms
[2023-08-08 19:05:42.086394] 46 bytes from 54.197.223.49: icmp_seq=55 ttl=49 time=48.3 ms
[2023-08-08 19:05:42.282080] 46 bytes from 54.197.223.49: icmp_seq=56 ttl=49 time=43.2 ms
[2023-08-08 19:05:42.486370] 46 bytes from 54.197.223.49: icmp_seq=57 ttl=49 time=46.6 ms
[2023-08-08 19:05:42.684377] 46 bytes from 54.197.223.49: icmp_seq=58 ttl=49 time=44.4 ms
[2023-08-08 19:05:42.892096] 46 bytes from 54.197.223.49: icmp_seq=59 ttl=49 time=51.1 ms
[2023-08-08 19:05:43.091507] 46 bytes from 54.197.223.49: icmp_seq=60 ttl=49 time=49.7 ms
[2023-08-08 19:05:43.285227] 46 bytes from 54.197.223.49: icmp_seq=61 ttl=49 time=43.1 ms
[2023-08-08 19:05:43.486313] 46 bytes from 54.197.223.49: icmp_seq=62 ttl=49 time=43.4 ms
[2023-08-08 19:05:43.684391] 46 bytes from 54.197.223.49: icmp_seq=63 ttl=49 time=40.3 ms
[2023-08-08 19:05:43.901172] 46 bytes from 54.197.223.49: icmp_seq=64 ttl=49 time=56.1 ms
[2023-08-08 19:05:44.116419] 46 bytes from 54.197.223.49: icmp_seq=65 ttl=49 time=70.5 ms
